,name,code,lat,lng
0,新北市,0,25.0169826,121.4627868
1,台北市,1,25.0329636,121.5654268
2,桃園市,2,24.9917033,121.2989587
3,台中市,3,24.1477358,120.6736482
4,台南市,4,22.9998999,120.2268758
5,高雄市,5,22.6272784,120.3014353
6,宜蘭縣,6,24.7021073,121.7377502
7,新竹縣,7,24.8387226,121.0177246
8,苗栗縣,8,24.560159,120.8214265
9,彰化縣,9,24.0517963,120.5161352
10,南投縣,10,23.9609981,120.9718638
11,雲林縣,11,23.7092033,120.4313373
12,嘉義縣,12,23.4518428,120.2554615
13,屏東縣,13,22.5519759,120.5487597
14,台東縣,14,22.7972447,121.0713702
15,花蓮縣,15,23.9871589,121.6015714
16,基隆市,16,25.1276033,121.7391833
17,新竹市,17,24.8138287,120.9674798
18,嘉義市,18,23.4800751,120.4491113
19,桃園縣,19,24.9936281,121.3009798
