,name,quantity,code
0,新北市,3073248.777777778,0
1,台北市,549699.8888888889,1
2,桃園市,3206673.0,2
3,台中市,35274148.111111104,3
4,台南市,19183687.111111112,4
5,高雄市,7677424.888888888,5
6,宜蘭縣,86337885.0,6
7,新竹縣,7427259.666666667,7
8,苗栗縣,4604948.333333333,8
9,彰化縣,45318752.222222224,9
10,南投縣,46709164.222222224,10
11,雲林縣,91753442.44444445,11
12,嘉義縣,23503754.111111112,12
13,屏東縣,14870740.333333334,13
14,台東縣,6301021.0,14
15,花蓮縣,3914510.5555555555,15
16,基隆市,4744.0,16
17,新竹市,120652.44444444445,17
18,嘉義市,200629.44444444444,18
19,桃園縣,2508292.5,19
