,year,region,quantity
374,2021,新北市,2856.576
375,2021,台北市,392.856
376,2021,桃園市,2841.972
377,2021,台中市,40361.241
378,2021,台南市,22639.129
379,2021,高雄市,8291.631
380,2021,宜蘭縣,91314.873
381,2021,新竹縣,10310.51
382,2021,苗栗縣,4911.65
383,2021,彰化縣,39288.286
384,2021,南投縣,49659.133
385,2021,雲林縣,93715.538
386,2021,嘉義縣,27775.59
387,2021,屏東縣,16909.65
388,2021,台東縣,4377.758
389,2021,花蓮縣,3648.612
390,2021,澎湖縣,330.252
391,2021,基隆市,6.024
392,2021,新竹市,106.283
393,2021,嘉義市,204.35
394,2021,金門縣,52.635
395,2021,連江縣,-
1276,2020,新北市,3108.902
1277,2020,台北市,469.871
1278,2020,桃園市,3237.039
1279,2020,台中市,38182.377
1280,2020,台南市,19280.029
1281,2020,高雄市,8352.069
1282,2020,宜蘭縣,93816.527
1283,2020,新竹縣,8826.202
1284,2020,苗栗縣,4584.432
1285,2020,彰化縣,36916.453
1286,2020,南投縣,58159.225
1287,2020,雲林縣,88264.611
1288,2020,嘉義縣,21275.02
1289,2020,屏東縣,14920.851
1290,2020,台東縣,5344.053
1291,2020,花蓮縣,3592.117
1292,2020,澎湖縣,323.09
1293,2020,基隆市,6.817
1294,2020,新竹市,116.809
1295,2020,嘉義市,279.335
1296,2020,金門縣,37.951
1297,2020,連江縣,-
2178,2019,新北市,3301.18
2179,2019,台北市,486.021
2180,2019,桃園市,2949.702
2181,2019,台中市,37220.179
2182,2019,台南市,17503.175
2183,2019,高雄市,7845.802
2184,2019,宜蘭縣,94444.873
2185,2019,新竹縣,9330.85
2186,2019,苗栗縣,5837.97
2187,2019,彰化縣,39203.592
2188,2019,南投縣,69710.102
2189,2019,雲林縣,86846.846
2190,2019,嘉義縣,27568.654
2191,2019,屏東縣,15688.326
2192,2019,台東縣,5866.065
2193,2019,花蓮縣,3372.32
2194,2019,澎湖縣,379.718
2195,2019,基隆市,5.304
2196,2019,新竹市,90.82
2197,2019,嘉義市,237.545
2198,2019,金門縣,53.235
2199,2019,連江縣,0
3080,2018,新北市,3475
3081,2018,台北市,547
3082,2018,桃園市,3182
3083,2018,台中市,40429
3084,2018,台南市,17420
3085,2018,高雄市,6984
3086,2018,宜蘭縣,93081
3087,2018,新竹縣,9028
3088,2018,苗栗縣,4927
3089,2018,彰化縣,45532
