,P,Q,t
2,29.825103886580298,8182.0,101.01.03
15,29.748889276575948,17196.0,101.01.04
28,27.29402499349128,23046.0,101.01.05
41,24.218707482993192,25872.0,101.01.06
54,20.452392138438658,25542.0,101.01.07
67,18.234140743617804,28321.0,101.01.08
83,17.72455708324783,14619.0,101.01.08
93,21.166155426726352,13627.0,101.01.10
106,21.35442087178873,25029.0,101.01.11
119,21.479745936563045,25348.0,101.01.12
132,19.863274183957685,31953.0,101.01.13
145,17.052118048041546,36968.0,101.01.14
158,14.11560172679306,39611.0,101.01.15
175,12.833975786924938,20650.0,101.01.15
184,15.401703296703298,14560.0,101.01.17
197,15.33028140161725,46375.0,101.01.18
210,14.927037199389332,66157.0,101.01.19
223,13.762902747045173,74116.0,101.01.20
236,15.26849175974381,64015.0,101.01.21
249,18.623947758978925,33690.0,101.01.22
262,17.91137686527675,9449.0,101.01.22
280,19.10642946317104,12816.0,101.01.28
293,19.411425124935377,23212.0,101.01.29
306,21.732901206973622,17896.0,101.01.30
325,24.4296,7500.0,101.01.30
332,21.910608671675742,14507.0,101.02.01
345,20.789571721912587,27272.0,101.02.02
358,17.695291312770074,33555.0,101.02.03
371,16.93833787304595,33776.0,101.02.04
384,19.844490761152752,24949.0,101.02.05
397,23.38197369998801,25019.0,101.02.06
412,24.307077205882354,13056.0,101.02.06
423,27.645916515426496,12122.0,101.02.09
436,25.969650751547302,27144.0,101.02.10
449,18.23873451195325,46891.0,101.02.11
462,16.695526126636317,45911.0,101.02.12
480,20.016536105967813,14042.0,101.02.12
488,17.74577232889204,19739.0,101.02.14
501,16.66571173510794,36966.0,101.02.15
514,14.120216105275864,33132.0,101.02.16
527,13.180872921442871,34459.0,101.02.17
540,13.50861596901902,40541.0,101.02.18
553,11.36501400560224,53550.0,101.02.19
571,9.919630580109622,31563.0,101.02.19
579,11.519983912322155,19891.0,101.02.21
592,12.293156851018288,31769.0,101.02.22
605,13.374357253701296,23843.0,101.02.23
618,13.182928440020756,21199.0,101.02.24
631,13.571697066114172,27029.0,101.02.25
644,10.21972097930792,51179.0,101.02.26
662,8.332827102803737,33384.0,101.02.26
670,13.361833247022266,11586.0,101.02.28
683,14.246492529929752,20214.0,101.02.29
696,14.840080399017346,26866.0,101.03.01
709,14.333922615076716,35976.0,101.03.02
722,13.693274458475964,34763.0,101.03.03
735,14.333590827213524,28868.0,101.03.04
753,15.86716203664612,11843.0,101.03.04
761,13.414373036029444,23231.0,101.03.06
774,12.928936787761996,42033.0,101.03.07
787,12.409417778547912,34626.0,101.03.08
800,12.0749572059221,33299.0,101.03.09
813,11.868730353242048,37538.0,101.03.10
826,12.5569910486573,39994.0,101.03.11
844,13.089363303396718,19931.0,101.03.11
852,13.587400430570504,18580.0,101.03.13
865,14.638290123679374,27733.0,101.03.14
878,15.87156785243742,22770.0,101.03.15
891,14.91343949044586,29830.0,101.03.16
904,14.184753673736312,38993.0,101.03.17
917,14.24955536396108,40595.0,101.03.18
935,14.72560763401628,17815.0,101.03.18
943,12.07634123093682,29376.0,101.03.20
956,10.247918908956878,67825.0,101.03.21
969,8.45252770184875,68046.0,101.03.22
982,7.465401581215431,58942.0,101.03.23
995,6.630073013549458,56017.0,101.03.24
1008,6.342918898794133,48347.0,101.03.25
