,P,Q,t
7,32.43,2986.0,101.01.03
20,31.10600858369099,5359.0,101.01.04
33,28.980492348636066,4509.0,101.01.05
46,31.20698301698302,3003.0,101.01.06
59,36.56192044748291,1609.0,101.01.07
71,30.439205043859644,3648.0,101.01.08
86,29.29,2906.0,101.01.08
98,28.32,1670.0,101.01.10
111,26.93649635036496,3425.0,101.01.11
124,23.320854430379747,3792.0,101.01.12
137,21.91401129943503,3717.0,101.01.13
150,22.66868613138686,3288.0,101.01.14
162,21.640988490182803,2954.0,101.01.15
178,20.34,1346.0,101.01.15
189,20.16,2802.0,101.01.17
202,19.381851911598645,6199.0,101.01.18
215,16.622040569179532,6606.0,101.01.19
228,13.935948417030568,7328.0,101.01.20
241,14.866205187319885,8675.0,101.01.21
253,16.60949731770316,5033.0,101.01.22
266,22.24,477.0,101.01.22
285,26.4,2369.0,101.01.28
298,26.321773142112125,5369.0,101.01.29
314,26.26,3000.0,101.01.29
319,28.5,1982.0,101.01.31
337,27.40259430518374,4109.0,101.02.01
350,18.95776642565231,6362.0,101.02.02
363,15.112785943345804,7484.0,101.02.03
376,15.824322766570608,5205.0,101.02.04
389,17.080553846153848,3900.0,101.02.05
400,16.956103575832305,3244.0,101.02.06
414,17.04,1300.0,101.02.06
428,29.22,434.0,101.02.09
441,25.18961021041739,2899.0,101.02.10
454,25.09436866981769,4443.0,101.02.11
465,25.697615176151764,3690.0,101.02.12
482,25.51,1712.0,101.02.12
493,18.58,2447.0,101.02.14
506,17.806158466158465,4329.0,101.02.15
519,15.72769210866753,3865.0,101.02.16
532,14.110688830423344,4181.0,101.02.17
545,13.600654205607478,4494.0,101.02.18
556,13.80026392305972,4471.0,101.02.19
573,13.98,2175.0,101.02.19
584,15.17,2243.0,101.02.21
597,15.27701581027668,4048.0,101.02.22
610,15.696864815932408,3314.0,101.02.23
623,15.586977219626167,3424.0,101.02.24
636,15.686309362279513,3685.0,101.02.25
647,15.311470962272146,4718.0,101.02.26
664,14.79,2948.0,101.02.26
675,16.84,1791.0,101.02.28
688,16.212881773399012,3654.0,101.02.29
701,15.642450331125827,3473.0,101.03.01
714,14.428632580261592,3364.0,101.03.02
727,14.836371253625522,3103.0,101.03.03
738,15.204170731707316,3690.0,101.03.04
755,14.25,2341.0,101.03.04
766,14.44,2574.0,101.03.06
779,14.527729697688205,3374.0,101.03.07
792,15.030274314214465,2406.0,101.03.08
805,14.44443456162643,3148.0,101.03.09
