,P,Q,t
4,25.22227378190255,15085.0,101.01.03
17,24.9560965433129,31157.0,101.01.04
30,24.080501435761263,32387.0,101.01.05
43,23.15437037526427,30272.0,101.01.06
56,22.6773495171126,34273.0,101.01.07
69,20.7724103842517,46532.0,101.01.08
85,19.357415318889228,26216.0,101.01.08
95,20.668934225769085,15538.0,101.01.10
108,19.642119846537973,32842.0,101.01.11
121,19.535833901879304,32246.0,101.01.12
134,19.19062409195106,30973.0,101.01.13
147,17.523471586715868,33875.0,101.01.14
160,16.12995459976105,41850.0,101.01.15
177,15.404578022161123,24006.0,101.01.15
186,15.62309454712082,19641.0,101.01.17
199,15.08351571446749,47154.0,101.01.18
212,14.022776185583732,55479.0,101.01.19
225,11.472263199080937,60061.0,101.01.20
238,11.970313255601528,55833.0,101.01.21
251,16.39889195786228,31136.0,101.01.22
264,21.31904568802379,7398.0,101.01.22
282,19.89345255778029,16831.0,101.01.28
295,21.53990287063833,30063.0,101.01.29
308,22.650655094440012,30072.0,101.01.30
327,21.87785629453682,16840.0,101.01.30
334,19.538201275045537,21960.0,101.02.01
347,19.127307992710232,38410.0,101.02.02
360,18.323737726028863,37274.0,101.02.03
373,17.938753398870524,47810.0,101.02.04
386,17.793609363026263,43063.0,101.02.05
398,18.67714274108376,24618.0,101.02.06
413,20.35142255005269,8541.0,101.02.06
425,22.49851271389733,12506.0,101.02.09
438,22.299159142601145,29018.0,101.02.10
451,21.08031556327456,33971.0,101.02.11
463,19.998338074562056,33395.0,101.02.12
481,19.91940888554217,15936.0,101.02.12
490,18.976299824233145,17637.0,101.02.14
503,18.04238122126321,37191.0,101.02.15
516,16.064958442175257,42110.0,101.02.16
529,13.619726566678793,46739.0,101.02.17
542,12.589171959757058,43138.0,101.02.18
554,11.944799086144336,44646.0,101.02.19
572,11.156513954303064,25691.0,101.02.19
581,11.20359735183856,25074.0,101.02.21
594,11.902698210098253,33689.0,101.02.22
607,13.868511265957988,19661.0,101.02.23
620,13.950618695025591,20123.0,101.02.24
633,13.011993651231798,28982.0,101.02.25
645,11.717574237232824,49032.0,101.02.26
663,11.17701788718371,29127.0,101.02.26
672,11.844570868072584,20390.0,101.02.28
685,12.267080445917443,33190.0,101.02.29
698,13.069501881450018,26841.0,101.03.01
711,13.123968610595552,30711.0,101.03.02
724,13.764753124212191,27767.0,101.03.03
736,14.950320568359034,23084.0,101.03.04
754,15.082389255026277,11987.0,101.03.04
763,14.415954285714289,13125.0,101.03.06
776,14.065425515327284,32067.0,101.03.07
789,13.15867077464789,36352.0,101.03.08
802,12.627872589129163,34220.0,101.03.09
815,12.999653529666524,32326.0,101.03.10
827,12.482339132476069,38339.0,101.03.11
845,12.002891819655613,22823.0,101.03.11
854,16.19787716405606,9704.0,101.03.13
867,16.164199389273584,23251.0,101.03.14
880,15.884710867896825,29969.0,101.03.15
893,15.5783848057332,31117.0,101.03.16
906,15.346511124176132,32317.0,101.03.17
918,13.249247392280267,45442.0,101.03.18
936,11.986786484543492,27820.0,101.03.18
945,9.70931863727455,37924.0,101.03.20
958,9.581790929597531,67384.0,101.03.21
971,9.043825726662062,63716.0,101.03.22
984,8.26746528181049,60271.0,101.03.23
997,6.716976028355563,53605.0,101.03.24
1009,6.097437099546804,44793.0,101.03.25
1027,6.5427076672673365,17203.0,101.03.25
1036,7.177274270196877,17676.0,101.03.27
1049,7.1942834221831164,38642.0,101.03.28
1062,7.666123686223406,35299.0,101.03.29
1075,7.714023599184531,32374.0,101.03.30
1088,7.367599508599508,40700.0,101.03.31
1101,7.283555414070671,43978.0,101.04.01
1114,6.661279853168297,44677.0,101.04.02
1126,6.015624026176378,51344.0,101.04.03
1142,5.787836775530622,27986.0,101.04.03
1158,6.824160999612981,18087.0,101.04.06
1170,6.983227839430058,36495.0,101.04.07
1182,7.0728918559588125,35351.0,101.04.08
1200,7.000501682110607,16943.0,101.04.08
