,P,Q,t
1,29.0892853150341,232578.0,101.01.03
14,29.0179201447228,411269.0,101.01.04
27,28.15778920845321,363933.0,101.01.05
40,24.872923845891155,386532.0,101.01.06
53,21.211836891155777,409567.0,101.01.07
66,22.50193025343847,377567.0,101.01.08
82,25.65770807490106,169290.0,101.01.08
92,26.757219391015845,179939.0,101.01.10
105,25.03330432482476,378050.0,101.01.11
118,22.35538175280673,397705.0,101.01.12
131,19.37731249475415,405082.0,101.01.13
144,17.359387592311457,388630.0,101.01.14
157,15.640322723776844,405672.0,101.01.15
174,14.407895564642969,222530.0,101.01.15
183,15.680477755049234,204833.0,101.01.17
196,17.636197257536868,448429.0,101.01.18
209,20.021598022922387,464524.0,101.01.19
222,18.57801597223134,533551.0,101.01.20
235,17.84224267112341,601934.0,101.01.21
248,20.358028129492023,377753.0,101.01.22
261,25.5417437416612,88442.0,101.01.22
279,22.36860810352475,191645.0,101.01.28
292,24.18839334432443,340882.0,101.01.29
305,26.966690398172062,328677.0,101.01.30
324,27.33378789567543,179440.0,101.01.30
331,22.34936692580313,209928.0,101.02.01
344,20.57773510217182,373880.0,101.02.02
357,19.8603359467119,290046.0,101.02.03
370,21.584918297011367,291605.0,101.02.04
383,22.749723576547687,330833.0,101.02.05
396,25.49043906964641,353543.0,101.02.06
411,26.677744778744135,188221.0,101.02.06
422,22.377781308916937,232849.0,101.02.09
435,20.5700585697752,427695.0,101.02.10
448,19.476724539545646,401397.0,101.02.11
461,18.74543126153121,441194.0,101.02.12
479,17.215685956964414,234643.0,101.02.12
487,17.553055694534574,201869.0,101.02.14
500,16.120163517658714,418915.0,101.02.15
513,14.9156499161573,369740.0,101.02.16
526,14.912834055013676,337407.0,101.02.17
539,12.841747476746487,444664.0,101.02.18
552,11.470392751048085,502583.0,101.02.19
570,11.46140781100597,242632.0,101.02.19
578,10.762904113827574,219771.0,101.02.21
591,12.173211574199982,352992.0,101.02.22
604,15.271212742631342,253574.0,101.02.23
617,13.05250334481306,322888.0,101.02.24
630,11.096330157344775,412470.0,101.02.25
643,10.544762817012789,424904.0,101.02.26
661,10.128878582493291,214969.0,101.02.26
669,15.898151045370504,154682.0,101.02.28
682,15.223928780037022,344117.0,101.02.29
695,14.421784699317524,385656.0,101.03.01
708,14.28740963340865,386343.0,101.03.02
721,15.062439277593786,354482.0,101.03.03
734,15.75797375815254,351271.0,101.03.04
752,15.695188619182394,186911.0,101.03.04
760,13.27486675571093,232843.0,101.03.06
773,12.85805697127167,420282.0,101.03.07
786,12.79850910459427,345430.0,101.03.08
799,14.164621345967248,316397.0,101.03.09
812,13.85260242792109,382220.0,101.03.10
825,12.30325533696894,478783.0,101.03.11
843,11.646720189513236,254969.0,101.03.11
851,16.48049945272993,163539.0,101.03.13
864,14.838325569908914,380631.0,101.03.14
877,14.342693177777276,396513.0,101.03.15
890,14.740923777951014,380979.0,101.03.16
903,14.34673458814559,409198.0,101.03.17
916,14.751192230823904,419298.0,101.03.18
934,15.100448364814936,211658.0,101.03.18
942,12.127570172187218,267093.0,101.03.20
955,11.032738134424797,531643.0,101.03.21
968,9.359931861886157,491942.0,101.03.22
981,7.968586001987119,474053.0,101.03.23
994,7.164904724236612,482914.0,101.03.24
1007,7.348410150878887,430544.0,101.03.25
1025,7.7361200467340225,194291.0,101.03.25
1033,7.841969025414448,214563.0,101.03.27
1046,7.439607820196326,427355.0,101.03.28
1059,6.941794681640005,405877.0,101.03.29
1072,7.1914779245821645,371318.0,101.03.30
1085,6.996453978570175,409896.0,101.03.31
1098,6.568663578204278,453300.0,101.04.01
1111,7.269525286828358,398409.0,101.04.02
1124,10.003344207768883,392051.0,101.04.03
1140,11.542700867246689,215279.0,101.04.03
1155,7.218532531811481,269321.0,101.04.06
1167,7.492664713350499,473383.0,101.04.07
1180,7.963109195269818,433810.0,101.04.08
1198,8.059607482981352,229748.0,101.04.08
1206,9.20515724675958,196888.0,101.04.10
1219,8.406691300968536,382123.0,101.04.11
1232,7.112840869586308,371073.0,101.04.12
1245,6.884745376784201,364519.0,101.04.13
1258,6.682720252158511,368657.0,101.04.14
1271,7.860757093381258,343313.0,101.04.15
1289,9.817010245407172,153337.0,101.04.15
1297,10.496746712958496,155535.0,101.04.17
1310,9.851881716467416,339185.0,101.04.18
1323,9.30996073314171,332596.0,101.04.19
1336,9.740430857923078,290026.0,101.04.20
1349,9.472406758397645,347538.0,101.04.21
1361,10.30787937380408,348581.0,101.04.22
1377,12.233284549298848,142123.0,101.04.22
1385,8.677519351083616,215621.0,101.04.24
1398,8.716219393942598,378479.0,101.04.25
1411,8.465040560867386,345037.0,101.04.26
1424,9.3518569619179,318181.0,101.04.27
1437,10.278489286756368,332439.0,101.04.28
1450,10.6666370817192,370684.0,101.04.29
1468,11.59080271109402,174247.0,101.04.29
1476,16.36801144856098,157225.0,101.05.01
1489,15.380601307890862,335502.0,101.05.02
1502,14.185742765628452,362160.0,101.05.03
1515,14.733416037479705,346214.0,101.05.04
1528,15.229183546885563,357914.0,101.05.05
1541,15.112164345314588,405439.0,101.05.06
1559,15.374785567246112,209856.0,101.05.06
1567,16.770956213632267,196431.0,101.05.08
1580,16.524875508851657,369705.0,101.05.09
1593,17.70225315766268,308456.0,101.05.10
1606,19.174247931772445,313070.0,101.05.11
1619,18.33534956316198,377371.0,101.05.12
1632,17.74401037250764,383321.0,101.05.13
1650,17.62384055527149,183838.0,101.05.13
1658,18.26121449321162,164546.0,101.05.15
1671,18.92724293458572,300867.0,101.05.16
1684,20.07300598463064,261169.0,101.05.17
1697,19.179122392958067,296169.0,101.05.18
1710,18.618283858776252,334448.0,101.05.19
1723,19.6586172950754,324046.0,101.05.20
1741,20.327221148528142,160919.0,101.05.20
1749,20.262029180379415,184439.0,101.05.22
1762,21.47343863194714,321625.0,101.05.23
1775,23.06235902374737,276199.0,101.05.24
1788,22.16088732935974,312060.0,101.05.25
1801,20.182867758869182,378135.0,101.05.26
