,P,Q,t
0,30.3645751883284,62922.0,101.01.03
13,29.101061571125268,126699.0,101.01.04
26,27.087183540551862,126517.0,101.01.05
39,25.34134029590949,135582.0,101.01.06
52,23.079275868504546,150028.0,101.01.07
65,22.62277158348016,146999.0,101.01.08
81,23.61026169911048,69813.0,101.01.08
91,28.31680307885205,57424.0,101.01.10
104,26.161270065015795,126277.0,101.01.11
117,22.654231463243296,145198.0,101.01.12
130,20.157723877093925,149122.0,101.01.13
143,17.961540546739787,143871.0,101.01.14
156,15.934415200887392,138834.0,101.01.15
173,15.090159433126663,67740.0,101.01.15
182,15.278215869251394,77584.0,101.01.17
195,16.697070583185138,163070.0,101.01.18
208,16.413129311797533,195829.0,101.01.19
221,17.69248244678895,217624.0,101.01.20
234,20.21593065038525,225697.0,101.01.21
247,20.32994930515933,152481.0,101.01.22
260,20.867294877440184,34065.0,101.01.22
278,23.490099684591723,51362.0,101.01.28
291,25.250343483952143,98549.0,101.01.29
304,30.119783663952912,104652.0,101.01.30
323,32.54499260419386,57465.0,101.01.30
330,23.162389349527032,85630.0,101.02.01
343,20.398400271880952,164778.0,101.02.02
356,18.28325292741855,129551.0,101.02.03
369,21.020915700294413,99858.0,101.02.04
382,22.63019428591405,114419.0,101.02.05
395,26.90391706360325,124915.0,101.02.06
410,31.35366716151524,59951.0,101.02.06
421,21.958408110704585,97846.0,101.02.09
434,21.481683136456457,170919.0,101.02.10
447,19.62692277893332,167791.0,101.02.11
460,18.307561862319684,170540.0,101.02.12
478,17.831711112869616,75822.0,101.02.12
486,17.955724171057174,66621.0,101.02.14
499,17.584788535051246,131322.0,101.02.15
512,15.968452813403518,134890.0,101.02.16
525,15.21443775466764,131544.0,101.02.17
538,12.251435012260709,166793.0,101.02.18
551,10.798415931785264,195383.0,101.02.19
569,11.415843015175945,89945.0,101.02.19
577,12.187587057172465,76243.0,101.02.21
590,12.777855987055018,135960.0,101.02.22
603,14.145776178367486,113653.0,101.02.23
616,14.607527818620778,110178.0,101.02.24
629,12.567673133568883,139531.0,101.02.25
642,10.506495544877213,165652.0,101.02.26
660,9.672054199094251,82363.0,101.02.26
668,14.322576334395151,64355.0,101.02.28
681,15.873255451713396,121980.0,101.02.29
694,15.275285231853008,137695.0,101.03.01
707,14.011279646406956,140953.0,101.03.02
720,15.97291109769768,115970.0,101.03.03
733,16.994173897224574,126431.0,101.03.04
751,16.57187289751065,71344.0,101.03.04
759,12.82949097925328,100546.0,101.03.06
772,13.255406719957463,165507.0,101.03.07
785,14.399408507223114,124600.0,101.03.08
798,14.750823259774467,125659.0,101.03.09
811,13.247863746257211,152627.0,101.03.10
824,12.555337465938578,184226.0,101.03.11
842,12.849485243651335,97619.0,101.03.11
850,16.467014288419243,68657.0,101.03.13
863,15.033722014050056,159857.0,101.03.14
876,14.161694757982508,157344.0,101.03.15
889,15.260759788688626,128720.0,101.03.16
902,15.379893561871263,152389.0,101.03.17
915,15.074739055562716,170726.0,101.03.18
933,15.3090418103395,80913.0,101.03.18
941,12.26517125819802,104141.0,101.03.20
954,11.682459890053485,214286.0,101.03.21
967,9.526863349824088,221134.0,101.03.22
980,6.9934905546283535,206715.0,101.03.23
993,6.197399810590168,166834.0,101.03.24
1006,7.228655464653437,136166.0,101.03.25
1024,7.921954256202158,65058.0,101.03.25
1032,7.248615751789976,92180.0,101.03.27
1045,7.178964155971381,171493.0,101.03.28
1058,7.111698501127472,150780.0,101.03.29
1071,7.399451066388426,141365.0,101.03.30
1084,6.864349413178081,173136.0,101.03.31
1097,6.291352468338196,206637.0,101.04.01
1110,6.311061499010256,177824.0,101.04.02
1123,8.064420537625441,143892.0,101.04.03
1139,9.880861416212015,69467.0,101.04.03
1154,8.009479573750186,93654.0,101.04.06
1166,8.040155267540838,184327.0,101.04.07
1179,8.75855039320206,178407.0,101.04.08
1197,9.468265438712471,87734.0,101.04.08
1205,9.179415865049492,86076.0,101.04.10
1218,8.179122150350077,165108.0,101.04.11
1231,6.520633751358932,168331.0,101.04.12
1244,6.264909024603082,153558.0,101.04.13
1257,7.537111970888063,121737.0,101.04.14
1270,7.660345179044642,132453.0,101.04.15
1288,6.959699899966655,74975.0,101.04.15
1296,9.346916569857814,61117.0,101.04.17
1309,8.652438223808241,118816.0,101.04.18
