,P,Q,t
4510,24.97410725242361,8149.0,102.01.01
4524,24.384931358772025,18502.0,102.01.02
4538,24.441438287657533,19996.0,102.01.03
4552,25.0,15760.0,102.01.04
4566,26.119159046727628,13889.0,102.01.05
4579,27.0,14639.0,102.01.06
4595,27.0,6867.0,102.01.06
4608,24.744692583402266,7254.0,102.01.08
4622,24.72604828462516,15740.0,102.01.09
4636,24.70203591121165,14146.0,102.01.10
4650,24.650461320085167,11272.0,102.01.11
4664,24.657844332230543,11486.0,102.01.12
4676,24.6057801017524,14152.0,102.01.13
4693,24.536844648465813,8278.0,102.01.13
4706,14.83328637174791,10647.0,102.01.15
4720,14.876015159718465,20317.0,102.01.16
4734,18.24231038655034,15703.0,102.01.17
4748,21.5535309429843,11909.0,102.01.18
4762,23.82938754503345,11658.0,102.01.19
4775,28.39027302395925,12563.0,102.01.20
4791,28.51968736174605,6781.0,102.01.20
4804,21.654852210306043,7646.0,102.01.22
4818,20.705026019366315,15181.0,102.01.23
4832,21.765705149556997,15011.0,102.01.24
4846,21.68037814822833,13857.0,102.01.25
4860,20.018272989971106,11766.0,102.01.26
4872,19.994136313465784,14496.0,102.01.27
4889,19.399626824717373,9111.0,102.01.27
4902,20.0,7394.0,102.01.29
4916,19.776314987505334,16407.0,102.01.30
4930,16.736161308731216,15771.0,102.01.31
4944,15.491835401698236,15310.0,102.02.01
4958,13.847090737972652,18063.0,102.02.02
4971,15.610564474365612,21241.0,102.02.03
4986,19.71764705882353,11730.0,102.02.03
4999,14.76,10700.0,102.02.05
5013,13.725623198236391,23588.0,102.02.06
5027,16.358390105165686,30238.0,102.02.07
5041,19.13436297804933,35352.0,102.02.08
5053,14.736357065413806,38738.0,102.02.09
5067,10.765625,20736.0,102.02.09
5101,14.241653654546807,13449.0,102.02.16
5113,12.85583669035441,22093.0,102.02.17
5129,10.69967607589079,8644.0,102.02.17
5143,8.935739187788561,10613.0,102.02.19
5157,8.088712241653418,18870.0,102.02.20
5171,8.000277454081349,18021.0,102.02.21
5185,8.386796315250768,19540.0,102.02.22
5199,8.59671349724034,15944.0,102.02.23
5211,10.38729907773386,18975.0,102.02.24
5226,10.739205122198795,12807.0,102.02.24
5243,10.711888111888111,12870.0,102.02.27
5257,9.52488489366367,22805.0,102.02.28
5271,7.559466088642975,17531.0,102.03.01
5285,7.0,15485.0,102.03.02
5298,8.403788121990369,15575.0,102.03.03
5314,9.84465261514442,7686.0,102.03.03
5327,9.303458009880028,2834.0,102.03.05
5341,9.4869918699187,7380.0,102.03.06
5355,9.647240668651248,8734.0,102.03.07
5369,8.642737896494157,10183.0,102.03.08
5383,7.91314594972067,11456.0,102.03.09
5395,9.953833049403748,11740.0,102.03.10
5411,11.7220895046982,6279.0,102.03.10
5425,10.86881188118812,9696.0,102.03.12
5439,10.767344976766545,18723.0,102.03.13
5453,10.82908446020838,18044.0,102.03.14
5467,10.46416892977886,18043.0,102.03.15
5481,8.897213363308412,19127.0,102.03.16
5494,8.925723590901928,19037.0,102.03.17
5510,10.0,8936.0,102.03.17
5523,9.832210429164745,10835.0,102.03.19
5537,9.850843314593009,20455.0,102.03.20
5551,9.016253738924318,17719.0,102.03.21
5565,8.0,17340.0,102.03.22
5579,8.0,19107.0,102.03.23
5591,7.987167033079401,19559.0,102.03.24
5608,7.9741050242443,9693.0,102.03.24
5621,12.0,9995.0,102.03.26
5635,11.005938003220612,19872.0,102.03.27
5649,10.0,19718.0,102.03.28
5663,10.0,20174.0,102.03.29
5677,10.0,20354.0,102.03.30
5690,10.0,22773.0,102.03.31
5706,10.0,12752.0,102.03.31
5719,10.0,11589.0,102.04.02
5733,10.0,24797.0,102.04.03
5737,13.142543736288465,35554.0,102.04.04
5753,15.0,22346.0,102.04.04
5805,12.0,13363.0,102.04.09
5819,12.0,28170.0,102.04.10
5833,12.49172731017438,29132.0,102.04.11
5847,13.916709423636052,17541.0,102.04.12
5861,14.092168715615024,14723.0,102.04.13
5873,13.946100654851858,21837.0,102.04.14
5890,15.0,10330.0,102.04.14
5903,15.0,13863.0,102.04.16
5917,15.0,26601.0,102.04.17
5931,15.0,23942.0,102.04.18
5945,15.0,19567.0,102.04.19
5959,17.680423808731348,18027.0,102.04.20
5972,20.994328529059786,19219.0,102.04.21
5988,22.0,9555.0,102.04.21
6001,20.0,12998.0,102.04.23
6015,17.646495907480556,24557.0,102.04.24
6029,15.0,22924.0,102.04.25
6042,15.0,17413.0,102.04.26
6057,17.94341675734494,14704.0,102.04.27
6069,17.497642631601714,23119.0,102.04.28
6086,16.0,14463.0,102.04.28
6099,17.0,10232.0,102.04.30
6114,16.103537532355478,18544.0,102.05.01
6129,15.0,11985.0,102.05.02
6144,17.643700282268412,7794.0,102.05.03
6159,20.0,7649.0,102.05.04
6173,23.649621067136188,13063.0,102.05.05
6190,25.0,9535.0,102.05.05
6204,25.0,7948.0,102.05.07
6219,25.0,14873.0,102.05.08
6234,22.59888913908279,13323.0,102.05.09
6249,20.0,12704.0,102.05.10
6264,18.026492608946054,10418.0,102.05.11
6276,18.320947325438954,12245.0,102.05.12
6294,20.0,8133.0,102.05.12
6308,15.0,8489.0,102.05.14
6323,15.0,18377.0,102.05.15
6338,15.0,19351.0,102.05.16
6352,13.89196934355215,15005.0,102.05.17
6368,12.0,12150.0,102.05.18
6382,12.89591836734694,13720.0,102.05.19
6399,13.728346456692911,7112.0,102.05.19
6427,15.0,8175.0,102.05.22
6442,15.0,17011.0,102.05.23
6458,15.0,8836.0,102.05.23
6472,15.0,6863.0,102.05.25
6485,5.127567232426568,38709.0,102.05.26
6503,3.0,31846.0,102.05.26
6517,15.0,9344.0,102.05.28
6532,15.0,17151.0,102.05.29
6547,16.06868970066793,12127.0,102.05.30
6562,19.625068719076417,7276.0,102.05.31
6576,22.540708514605345,6436.0,102.06.01
6591,28.126934984520123,9690.0,102.06.02
6606,31.0,6210.0,102.06.02
6620,32.5,5322.0,102.06.04
6634,34.43523185483871,11904.0,102.06.05
6650,35.05345710627401,12496.0,102.06.06
6664,34.533669768175365,12682.0,102.06.07
6679,35.0,10742.0,102.06.08
6693,35.0,11240.0,102.06.09
6708,35.0,7266.0,102.06.09
6722,36.0,7988.0,102.06.11
6735,36.61115708513849,20543.0,102.06.12
6751,37.0,12555.0,102.06.12
6768,36.0,8412.0,102.06.15
6782,36.506164142303625,17034.0,102.06.16
6798,37.0,8622.0,102.06.16
6811,31.0,7615.0,102.06.18
6825,31.48330845433573,14738.0,102.06.19
6839,30.15864838245321,13199.0,102.06.20
6853,26.82909190148052,14657.0,102.06.21
6867,26.0,14718.0,102.06.22
6880,24.935304427341308,13123.0,102.06.23
6896,24.0,6986.0,102.06.23
6909,24.0,9307.0,102.06.25
6923,24.0,20323.0,102.06.26
6938,23.58251811115224,18911.0,102.06.27
6952,21.9226903523637,17113.0,102.06.28
6967,21.0,17328.0,102.06.29
6981,20.478268561655952,16957.0,102.06.30
6996,20.0,8847.0,102.06.30
7009,15.0,5875.0,102.07.02
7023,15.0,12014.0,102.07.03
7037,15.0,12586.0,102.07.04
7051,15.0,10256.0,102.07.05
7065,18.238694164431703,10813.0,102.07.06
7079,20.0,16721.0,102.07.07
7095,20.0,9717.0,102.07.07
7108,20.0,9274.0,102.07.09
7124,20.0,16615.0,102.07.10
7138,22.732859789993825,16190.0,102.07.11
7153,27.37356048913689,16846.0,102.07.12
7165,26.830731193626665,21841.0,102.07.13
7180,27.42877307678021,26921.0,102.07.14
7195,30.0,13077.0,102.07.14
7209,20.0,4260.0,102.07.16
7223,20.870026525198934,7540.0,102.07.17
7239,22.674667724657805,10082.0,102.07.18
7253,23.515975236604284,14053.0,102.07.19
7268,18.9158540263396,19894.0,102.07.20
7282,18.046591619762356,19188.0,102.07.21
7297,22.0,6545.0,102.07.21
7310,15.0,9846.0,102.07.23
7324,13.992890636817425,19833.0,102.07.24
7339,14.419528406393416,18957.0,102.07.25
7354,15.488695178425496,18355.0,102.07.26
7368,16.42207027966149,17843.0,102.07.27
7382,18.92158612775724,15686.0,102.07.28
7398,20.0,7228.0,102.07.28
7411,20.0,7068.0,102.07.30
7425,17.870707338053332,15113.0,102.07.31
7439,17.277793634936494,14014.0,102.08.01
7453,22.2191940368041,12879.0,102.08.02
7467,25.0,13381.0,102.08.03
7481,25.0,14905.0,102.08.04
7496,25.0,8434.0,102.08.04
7509,23.0,7601.0,102.08.06
7523,23.0,14566.0,102.08.07
7537,23.0,13295.0,102.08.08
7551,22.41754617414248,15160.0,102.08.09
7565,22.0,15764.0,102.08.10
7578,23.58113361980765,14661.0,102.08.11
7594,25.0,7727.0,102.08.11
7607,20.0,7294.0,102.08.13
7621,20.0,16287.0,102.08.14
7635,20.89676746611053,16303.0,102.08.15
7649,22.479344729344728,14040.0,102.08.16
7663,19.9030652641104,17682.0,102.08.17
7677,20.01908207099254,22115.0,102.08.18
7692,22.0,11163.0,102.08.18
7706,25.0,11634.0,102.08.20
7719,22.06907590524294,28114.0,102.08.21
7735,20.0,16480.0,102.08.21
7751,20.0,11569.0,102.08.24
7765,17.18646053825219,26456.0,102.08.25
7781,15.0,14887.0,102.08.25
7794,15.0,10520.0,102.08.27
7808,15.0,22290.0,102.08.28
7821,15.0,22317.0,102.08.29
7836,15.491906734752869,20758.0,102.08.30
7850,17.959330502123407,20015.0,102.08.31
7864,20.0,22357.0,102.09.01
7879,20.0,12553.0,102.09.01
7892,16.0,9934.0,102.09.03
7906,17.795628536558304,18026.0,102.09.04
7920,21.390292420926997,15081.0,102.09.05
7934,26.74280958721704,15020.0,102.09.06
7948,30.0,17556.0,102.09.07
7961,30.89967076763126,17313.0,102.09.08
7977,32.0,7788.0,102.09.08
7990,33.0,5934.0,102.09.10
8004,33.553431667670075,13288.0,102.09.11
8018,34.0,10292.0,102.09.12
8032,37.451864700780575,6918.0,102.09.13
8046,35.9149959903769,12470.0,102.09.14
8060,35.90757855822551,16230.0,102.09.15
8075,38.0,7740.0,102.09.15
8088,33.0,10896.0,102.09.17
8102,33.42896074629212,19081.0,102.09.18
8115,34.56262691033451,18714.0,102.09.19
8130,35.0,10529.0,102.09.19
8145,47.0,9834.0,102.09.22
8160,47.0,9834.0,102.09.22
8173,35.0,6801.0,102.09.24
8187,29.637572451414933,14665.0,102.09.25
8201,22.4407200496586,16110.0,102.09.26
8215,21.78383560296937,20341.0,102.09.27
8229,21.74463890758727,20798.0,102.09.28
8243,21.78715101964974,21527.0,102.09.29
8258,23.0,12824.0,102.09.29
8271,28.0,8665.0,102.10.01
8285,24.16711752329426,16635.0,102.10.02
8299,21.398311897106108,14928.0,102.10.03
8313,23.81907671418873,11784.0,102.10.04
8327,25.0,12012.0,102.10.05
8341,25.431172326446607,12633.0,102.10.06
8355,26.0,5447.0,102.10.06
8368,36.0,6935.0,102.10.08
8382,33.67572792074423,16554.0,102.10.09
8396,28.890057195678548,17309.0,102.10.10
8410,22.9382546232615,13086.0,102.10.11
8424,21.186123680241327,13260.0,102.10.12
8437,23.703451307979776,18196.0,102.10.13
8453,25.0,10332.0,102.10.13
8466,25.0,9124.0,102.10.15
8480,21.668677121029354,17409.0,102.10.16
8494,18.0,16284.0,102.10.17
8508,17.479039405916875,16698.0,102.10.18
8522,17.0,15723.0,102.10.19
8536,18.147727962142813,16483.0,102.10.20
8551,19.0,9459.0,102.10.20
8565,22.0,5681.0,102.10.22
8580,22.0,12389.0,102.10.23
8595,22.061188369152973,11865.0,102.10.24
8610,25.669409124906508,9359.0,102.10.25
8625,27.20309096566746,9641.0,102.10.26
8638,30.73394959196938,13847.0,102.10.27
8656,34.41579448144624,8408.0,102.10.27
8670,34.29086685413865,8179.0,102.10.29
8685,34.27982286188763,14452.0,102.10.30
8700,28.893585187955864,10694.0,102.10.31
8715,22.44468313641246,11172.0,102.11.01
8730,26.596774193548388,14198.0,102.11.02
8744,29.399014113039367,14809.0,102.11.03
8761,29.1306710133116,7362.0,102.11.03
8775,29.10853125998509,9389.0,102.11.05
8790,27.2120313754555,16191.0,102.11.06
8805,24.450704225352112,14200.0,102.11.07
8820,23.89781384564425,12076.0,102.11.08
8835,20.78459582441113,14944.0,102.11.09
8848,20.7991517233974,18626.0,102.11.10
8866,22.1866028708134,8360.0,102.11.10
8880,17.383313180169285,9924.0,102.11.12
8895,17.505570015616865,19210.0,102.11.13
8910,17.19406721796525,13181.0,102.11.14
8925,14.305390589310187,8756.0,102.11.15
8940,13.401797279792746,12352.0,102.11.16
8954,14.981290549715837,19883.0,102.11.17
8971,15.713928340865074,12392.0,102.11.17
8984,15.862511457378552,10910.0,102.11.19
8998,14.574410163339383,19836.0,102.11.20
9013,13.0,14680.0,102.11.21
9028,12.471291670079449,12209.0,102.11.22
9043,14.443245515695068,14272.0,102.11.23
9056,17.109102139367735,17809.0,102.11.24
