,P,Q,t
6104,15.0,9880.0,102.05.01
6119,15.0,24880.0,102.05.02
6134,15.0,30000.0,102.05.03
6149,15.0,29500.0,102.05.04
6164,16.54515050167224,29900.0,102.05.05
6183,18.0,15400.0,102.05.05
6194,21.0,38600.0,102.05.07
6209,20.68439716312057,56400.0,102.05.08
6224,20.58411214953271,42800.0,102.05.09
6239,21.42922374429224,43800.0,102.05.10
6254,22.0,34600.0,102.05.11
6269,21.558303886925795,28300.0,102.05.12
6288,21.0,12500.0,102.05.12
6298,18.0,13500.0,102.05.14
6313,19.072164948453608,29100.0,102.05.15
6328,18.97196261682243,32100.0,102.05.16
6343,18.0,32100.0,102.05.17
6358,18.0,32450.0,102.05.18
6373,18.0,29350.0,102.05.19
6392,18.0,12500.0,102.05.19
6403,19.0,17650.0,102.05.21
6417,17.60211800302572,33050.0,102.05.22
6432,19.2863436123348,34050.0,102.05.23
6447,20.178102189781026,34250.0,102.05.24
6462,18.963455149501662,30100.0,102.05.25
6477,19.517857142857142,28000.0,102.05.26
6496,19.0,13500.0,102.05.26
6507,20.0,17500.0,102.05.28
6522,19.166666666666668,30000.0,102.05.29
6537,17.26530612244898,24500.0,102.05.30
6552,15.714285714285714,25200.0,102.05.31
6567,17.697138869504535,28660.0,102.06.01
6582,22.41989319092123,29960.0,102.06.02
6599,25.0,14500.0,102.06.02
6610,25.0,13200.0,102.06.04
6625,25.0,28700.0,102.06.05
6640,25.0,30100.0,102.06.06
6655,25.0,29600.0,102.06.07
6670,25.0,29000.0,102.06.08
6684,25.0,27500.0,102.06.09
6701,25.0,13500.0,102.06.09
6712,25.0,14500.0,102.06.11
6727,25.511784511784512,29700.0,102.06.12
6744,26.0,15200.0,102.06.12
6758,25.0,14300.0,102.06.15
6773,25.0,28800.0,102.06.16
6791,25.0,14500.0,102.06.16
6802,22.0,14500.0,102.06.18
6816,20.944625407166125,30700.0,102.06.19
6830,18.11636363636364,33000.0,102.06.20
6844,16.3,33300.0,102.06.21
6858,16.3,33000.0,102.06.22
6872,17.757943925233644,32100.0,102.06.23
6889,19.3,15600.0,102.06.23
6900,19.3,16500.0,102.06.25
6914,20.26291640477687,31820.0,102.06.26
6928,19.22583280955374,31820.0,102.06.27
6943,17.3,31800.0,102.06.28
6958,17.3,31200.0,102.06.29
6972,17.3,31680.0,102.06.30
6989,17.3,15780.0,102.06.30
7000,20.0,16540.0,102.07.02
7014,20.0,32990.0,102.07.03
7028,20.0,32990.0,102.07.04
7042,19.152318884510457,32990.0,102.07.05
7056,18.800758725341428,32950.0,102.07.06
7070,19.65,33000.0,102.07.07
7088,20.0,16500.0,102.07.07
7099,17.3,16500.0,102.07.09
7114,17.927586206896553,31900.0,102.07.10
7129,23.30401337792642,29900.0,102.07.11
7144,26.265610438024236,32190.0,102.07.12
7167,24.59807801017524,17690.0,102.07.12
7172,24.460064516129037,15500.0,102.07.14
7188,24.460064516129037,15500.0,102.07.14
7199,17.27480045610034,17540.0,102.07.16
7214,16.243623970462938,35210.0,102.07.17
7229,14.857884174311929,34880.0,102.07.18
7244,14.50070588235294,34000.0,102.07.19
7259,14.339358010410642,34580.0,102.07.20
7273,13.844945433658816,34820.0,102.07.21
7290,13.502348796241924,17030.0,102.07.21
7301,12.742857142857142,16870.0,102.07.23
7315,12.763053163053163,33670.0,102.07.24
7329,12.730434782608697,32200.0,102.07.25
7344,12.625339366515837,30940.0,102.07.26
7359,12.550477402928072,31420.0,102.07.27
7374,12.576382846488505,32180.0,102.07.28
7391,12.628220858895704,16300.0,102.07.28
7402,13.273267326732674,14140.0,102.07.30
7416,13.096619337390129,29580.0,102.07.31
7430,13.116438791732907,31450.0,102.08.01
7444,12.987429643527204,31980.0,102.08.02
7458,12.717416951257372,32210.0,102.08.03
7472,12.956221055881445,32390.0,102.08.04
7489,13.16185758513932,16150.0,102.08.04
7500,15.335642317380351,15880.0,102.08.06
7514,14.914105396023984,31690.0,102.08.07
7528,14.216456494325346,31720.0,102.08.08
7542,13.972649572649573,31590.0,102.08.09
7556,14.65096062992126,31750.0,102.08.10
7570,15.25551071095933,32210.0,102.08.11
7587,15.226765799256505,16140.0,102.08.11
7598,16.379006913890635,15910.0,102.08.13
7612,15.672407291011943,31820.0,102.08.14
7626,14.86998123827392,31980.0,102.08.15
7640,14.756439393939392,31680.0,102.08.16
7654,14.798039215686275,31620.0,102.08.17
7668,15.775921375921376,32560.0,102.08.18
7685,16.66453172205438,16550.0,102.08.18
7696,23.25717633274751,17070.0,102.08.20
7711,22.935678539888137,33970.0,102.08.21
7727,22.61094674556213,16900.0,102.08.21
7743,19.54425322679779,16270.0,102.08.24
7757,19.292549261083742,32480.0,102.08.25
7774,19.03991363355953,16210.0,102.08.25
7785,17.43368291178285,16210.0,102.08.27
7799,17.835150030618493,32660.0,102.08.28
7813,18.228228043143297,32450.0,102.08.29
7827,19.016796997184866,31970.0,102.08.30
7841,21.88982997481108,31760.0,102.08.31
7855,23.175498575498576,31590.0,102.09.01
7872,22.35759493670886,15800.0,102.09.01
