,P,Q,t
11,28.885482480206942,12757.0,101.01.03
24,26.27613476123328,26239.0,101.01.04
37,23.74624800655144,23201.0,101.01.05
50,23.85768734183752,19363.0,101.01.06
63,23.574240837696337,20055.0,101.01.07
75,21.58841721091049,20824.0,101.01.08
90,20.04829539998079,10413.0,101.01.08
102,25.89258984058363,14804.0,101.01.10
115,23.05735652282521,32026.0,101.01.11
128,20.683217313391687,29018.0,101.01.12
141,19.22821698755871,27891.0,101.01.13
154,16.93952939143458,34721.0,101.01.14
166,16.338777743483266,35639.0,101.01.15
181,16.773637806383356,17013.0,101.01.15
193,16.703073022701954,26033.0,101.01.17
206,13.247788908765653,55900.0,101.01.18
219,12.166443220143703,47737.0,101.01.19
232,15.753999945745058,36863.0,101.01.20
245,17.265192337948392,50848.0,101.01.21
256,15.897091988130564,48865.0,101.01.22
269,12.027125220458553,17010.0,101.01.22
289,17.57875765666719,12734.0,101.01.28
302,20.96841626075477,21967.0,101.01.29
311,25.047700926524456,23205.0,101.01.30
328,24.654065273403948,13972.0,101.01.30
341,23.283586935761125,15707.0,101.02.01
354,23.282482168330954,24535.0,101.02.02
367,20.426064707824366,24232.0,101.02.03
380,17.574053753959696,30621.0,101.02.04
393,16.83257654075547,25150.0,101.02.05
402,18.47794943069439,18707.0,101.02.06
415,19.491543195805797,8774.0,101.02.06
432,23.592654437772477,12157.0,101.02.09
445,21.382084781097983,21585.0,101.02.10
458,18.37392891656824,18626.0,101.02.11
468,18.374892467188708,18134.0,101.02.12
485,18.54228961504029,8936.0,101.02.12
497,18.81477796870761,22114.0,101.02.14
510,18.264968274805824,36564.0,101.02.15
523,16.6914499525938,29532.0,101.02.16
536,15.507729486699136,26690.0,101.02.17
549,15.383812069590432,22072.0,101.02.18
560,15.44886286692954,25107.0,101.02.19
576,15.096824421225158,14643.0,101.02.19
588,15.195879207297892,19074.0,101.02.21
601,15.64257533132224,29503.0,101.02.22
614,15.49823796156338,23155.0,101.02.23
627,15.015785922145842,23711.0,101.02.24
640,13.889269365884818,28181.0,101.02.25
650,13.64101151921809,25783.0,101.02.26
667,15.037498544311168,8587.0,101.02.26
679,18.88685525297305,14211.0,101.02.28
692,17.89794363352612,21786.0,101.02.29
705,14.618264508690268,23417.0,101.03.01
718,14.349016576174895,27811.0,101.03.02
731,14.81571818181818,22000.0,101.03.03
742,14.318453994063749,23247.0,101.03.04
758,14.012061138014529,13216.0,101.03.04
770,13.831016725714758,24274.0,101.03.06
783,13.452143521661512,39771.0,101.03.07
796,12.477286168819012,26715.0,101.03.08
808,11.807856803421512,25252.0,101.03.09
822,12.14109917185682,29222.0,101.03.10
832,12.095918238197696,31604.0,101.03.11
849,11.671820175438596,16416.0,101.03.11
861,14.522993657505284,11825.0,101.03.13
874,13.963939331830291,24395.0,101.03.14
887,13.767200479233228,25040.0,101.03.15
900,13.270528636064812,25859.0,101.03.16
913,12.259071455865495,26170.0,101.03.17
924,11.74659557013946,28037.0,101.03.18
940,11.527739905610906,15256.0,101.03.18
952,14.480505226480837,45920.0,101.03.20
965,12.30355386773604,70571.0,101.03.21
978,9.021952085602008,42242.0,101.03.22
991,9.692889144745074,39953.0,101.03.23
1004,8.476495670713135,45966.0,101.03.24
1014,7.7764449493427295,43133.0,101.03.25
1031,7.950985713554201,19529.0,101.03.25
