,P,Q,t
28576,5.630359767891682,51700.0,106.04.07
28593,5.65603108201838,92272.0,106.04.08
28610,5.749770052012046,73060.0,106.04.09
28643,5.825981901009604,32488.0,106.04.09
28647,4.523165236713783,48603.0,106.04.11
28664,4.693980165215249,89338.0,106.04.12
28683,4.572082472609367,76486.0,106.04.13
28702,4.380560387084532,63242.0,106.04.14
28719,5.273268769009125,62470.0,106.04.15
28737,5.082170015997896,91262.0,106.04.16
28770,4.641444130554519,56283.0,106.04.16
28774,4.741754195573815,51602.0,106.04.18
28791,4.645512840243365,97467.0,106.04.19
28809,4.408357464039362,84954.0,106.04.20
28827,4.1966042154566745,77714.0,106.04.21
28844,3.856024467045496,82887.0,106.04.22
28862,4.000537450946937,70332.0,106.04.23
28895,4.659723820483314,26070.0,106.04.23
28899,7.713767754796909,32104.0,106.04.25
28916,7.110703772267913,65902.0,106.04.26
28934,7.031249814853217,67514.0,106.04.27
28953,6.960981918762485,78092.0,106.04.28
28971,7.168112927191678,80760.0,106.04.29
28989,7.934285360109087,80670.0,106.04.30
29022,7.926161766698279,44286.0,106.04.30
29026,7.916537184172113,51036.5,106.05.02
29043,7.963627251176954,105250.5,106.05.03
29061,7.668781310041609,84837.0,106.05.04
29079,7.00441087613293,61235.0,106.05.05
29096,7.439616257846238,67389.0,106.05.06
29114,8.348066136520071,68283.0,106.05.07
29147,8.92353202564591,31506.0,106.05.07
29151,8.434376321353065,47300.0,106.05.09
29168,8.309763817080178,92259.0,106.05.10
29185,7.728875090118375,85998.0,106.05.11
29203,6.5562093589652655,84582.0,106.05.12
29221,5.634318617187152,89788.0,106.05.13
29239,5.707682456763199,78868.0,106.05.14
29274,6.186840572602152,32623.0,106.05.14
29278,6.100858742999378,40175.0,106.05.16
29296,5.875532831619464,87035.0,106.05.17
29313,5.699606458707101,86395.0,106.05.18
29330,5.619299703401078,86649.0,106.05.19
29347,5.709930916357408,87575.0,106.05.20
29366,5.940728989219906,76901.0,106.05.21
29400,5.97049945115258,36440.0,106.05.21
29404,6.547698826174366,46259.0,106.05.23
29421,6.371397961547371,86340.0,106.05.24
29438,6.143458684232469,83951.0,106.05.25
29455,6.4084395263250125,79886.0,106.05.26
29472,6.378515191688537,73922.0,106.05.27
29491,5.984836044542516,77948.0,106.05.28
29509,5.917308377408128,72982.0,106.05.29
29527,6.161231281198004,72120.0,106.05.30
29563,6.403675344563553,39180.0,106.05.30
29585,6.19245946641503,58285.0,106.06.02
29602,7.505502967286282,101945.0,106.06.03
29621,11.586164209399325,89666.0,106.06.04
29654,13.795244098595836,46006.0,106.06.04
29658,16.693921921921923,83250.0,106.06.06
29675,14.776869885083697,140276.0,106.06.07
29692,10.512695795548227,101892.0,106.06.08
29709,9.027040653008964,74976.0,106.06.09
29726,11.153683571546823,72484.0,106.06.10
29745,12.286059069290802,76114.0,106.06.11
29780,12.311810906935388,33740.0,106.06.11
29785,11.69947926637822,52234.0,106.06.13
29802,12.49024332977588,93700.0,106.06.14
29819,13.714809699201965,78192.0,106.06.15
29835,15.38695600238901,75345.0,106.06.16
29851,17.239370154456395,83195.0,106.06.17
29868,16.97211170793882,87872.0,106.06.18
29901,16.24424889135255,43296.0,106.06.18
29907,15.976932515337424,44825.0,106.06.20
29923,17.444402717958948,85211.0,106.06.21
29939,18.167639930265192,70553.0,106.06.22
29955,17.82437096471951,58701.0,106.06.23
29972,19.715231540759717,56232.0,106.06.24
29990,20.25938302437652,56858.0,106.06.25
30025,19.825,29160.0,106.06.25
30031,20.310568044025743,53605.0,106.06.27
30048,20.007834938101787,90875.0,106.06.28
30064,18.56980091471617,74340.0,106.06.29
30080,18.13201129335843,59504.0,106.06.30
30096,18.690395651432794,52799.0,106.07.01
30113,18.61335646140503,51885.0,106.07.02
30146,18.904832713754644,21520.0,106.07.02
30152,20.46653828377754,32455.0,106.07.04
30168,19.82957658876397,64311.0,106.07.05
30184,19.02406742651073,60451.0,106.07.06
30200,18.23907184338865,58029.0,106.07.07
30216,17.867529611104782,61379.0,106.07.08
30233,17.14222235249289,68234.0,106.07.09
30266,16.323979718371955,36289.0,106.07.09
30272,17.5673200326683,42855.0,106.07.11
30288,17.025295505275974,78848.0,106.07.12
30305,15.412714955706097,61408.0,106.07.13
30322,14.70633862733976,49364.0,106.07.14
30339,16.226299467275496,52560.0,106.07.15
30356,17.499882037360226,61884.0,106.07.16
30389,18.00772698584438,33273.0,106.07.16
30394,18.963897935487523,35311.0,106.07.18
30411,18.65312316789226,59699.0,106.07.19
30427,17.910136638068003,47205.0,106.07.20
30443,18.45002172073988,43737.0,106.07.21
30459,19.762472978815392,50886.0,106.07.22
30476,20.63604072933933,59122.0,106.07.23
30511,21.259775003429827,29156.0,106.07.23
30516,22.995517945228777,35274.0,106.07.25
30534,22.19088191984137,68589.0,106.07.26
30551,21.848965670852245,71834.0,106.07.27
30567,21.020560093348887,77130.0,106.07.28
30583,22.18586547908924,93636.0,106.07.29
30600,22.90052296917477,86812.0,106.07.30
30633,21.183760656872305,31787.0,106.07.30
30639,25.83689045936396,14150.0,106.08.01
30655,23.16435733819508,32910.0,106.08.02
30671,18.770864317932464,41015.0,106.08.03
30687,16.58319994649665,44857.0,106.08.04
30703,18.599479735137887,54972.0,106.08.05
30720,19.54042109714838,66208.0,106.08.06
30754,18.97317217329629,33838.0,106.08.06
30760,17.24053159146323,33221.0,106.08.08
30777,17.07510297330198,59967.0,106.08.09
30793,16.89972885414466,56796.0,106.08.10
30809,17.432847431884273,53989.0,106.08.11
30826,17.835804646752013,52725.0,106.08.12
30843,18.56888967530744,56515.0,106.08.13
30876,19.530743986440196,27729.0,106.08.13
30882,24.94995139653943,30862.0,106.08.15
30898,23.39487443215908,58335.0,106.08.16
30914,20.850279401022647,54760.0,106.08.17
30930,19.95228099233068,55546.0,106.08.18
30946,21.36994292657192,62551.0,106.08.19
30963,22.14533759762418,70039.0,106.08.20
30995,21.696050018183342,35747.0,106.08.20
31000,18.87434051824761,51404.0,106.08.22
31017,18.267712651577284,90218.0,106.08.23
31035,16.64319834493832,64771.0,106.08.24
31052,15.488764385731375,59347.0,106.08.25
31068,15.64401913875598,79420.0,106.08.26
31084,15.11310601212786,82042.5,106.08.27
31116,14.343464074973967,36012.5,106.08.27
31122,15.338463212886374,27564.0,106.08.29
31140,14.939924513176791,59878.0,106.08.30
31157,15.74813338601886,58207.0,106.08.31
31174,16.648859878456296,57757.0,106.09.01
31190,15.33344921224206,76229.0,106.09.02
31207,14.232388449216014,94262.0,106.09.03
31223,13.889142092860324,78505.0,106.09.04
31240,14.368081773636437,74694.0,106.09.05
31275,14.587560213513866,46086.0,106.09.05
31297,13.675337700633907,56633.0,106.09.08
31314,12.845245531446054,109823.0,106.09.09
31331,12.453151984849889,97161.0,106.09.10
31365,13.047979350026152,43971.0,106.09.10
31370,17.77205882352941,48960.0,106.09.12
31387,19.161234266391133,127752.0,106.09.13
31404,18.373364330787112,114418.0,106.09.14
31420,14.02179880563529,60618.0,106.09.15
31436,13.572744201109176,49406.0,106.09.16
31453,13.943518349794086,54878.0,106.09.17
31485,13.790480567226892,30464.0,106.09.17
31490,13.81476411635297,40910.0,106.09.19
31506,13.138283093053737,76300.0,106.09.20
31522,11.386653851434849,72830.0,106.09.21
31540,9.80815126847174,73829.0,106.09.22
31558,11.297797519896356,70239.0,106.09.23
31575,11.765278310414727,73012.0,106.09.24
31607,10.152328788110925,39162.0,106.09.24
31612,10.49445073612684,35320.0,106.09.26
31628,10.740314395345958,64632.0,106.09.27
31645,11.753016366025564,50226.0,106.09.28
31662,12.294820155475891,49654.0,106.09.29
31678,12.294454929450886,55635.0,106.09.30
31695,11.3768632765138,70105.0,106.10.01
31726,10.58220319370516,43210.0,106.10.01
31732,10.810179894870874,61258.0,106.10.03
31749,11.4909583358505,99318.0,106.10.04
31787,12.586678928008409,38060.0,106.10.04
31809,12.19599489545499,50935.0,106.10.07
31826,12.90081423564303,92725.0,106.10.08
31858,13.759870782483848,41790.0,106.10.08
31863,12.674872928176796,45250.0,106.10.10
31881,13.37929400024947,80170.0,106.10.11
31898,14.338466014051113,68749.0,106.10.12
31914,14.94723790392408,57746.0,106.10.13
31930,17.3563664429818,46643.0,106.10.14
31948,21.611027740856667,46646.0,106.10.15
31981,24.0377508361204,23920.0,106.10.15
31986,15.13146001668306,80321.0,106.10.17
32002,14.019959930049708,145246.0,106.10.18
32018,12.614646977298015,102458.0,106.10.19
32034,14.013677550272677,70963.0,106.10.20
32050,15.306567328213058,78251.0,106.10.21
32069,15.107063133776457,88162.0,106.10.22
32103,15.160353937380307,43341.0,106.10.22
32109,20.972675000715167,34957.0,106.10.24
32125,21.377730692961727,73626.0,106.10.25
32141,21.231383544868788,87377.0,106.10.26
32157,21.54989942857143,87500.0,106.10.27
32173,21.349531483409525,88364.0,106.10.28
32191,20.76295764068062,91857.0,106.10.29
32224,21.094704978124632,42285.0,106.10.29
32229,22.10417452533635,39765.0,106.10.31
32245,20.579641528156788,80620.0,106.11.01
32261,19.760722234285097,73688.0,106.11.02
32278,18.987487375460624,73270.0,106.11.03
32295,17.703898305084746,83780.0,106.11.04
32314,17.428987087517932,87125.0,106.11.05
32349,17.142003563108126,43782.0,106.11.05
32354,18.31631304622513,37988.0,106.11.07
32371,19.36783132981313,80109.0,106.11.08
32388,20.27445371997657,68280.0,106.11.09
32405,20.28042063094642,57913.0,106.11.10
32422,19.759103002660584,68406.0,106.11.11
32440,17.62944987227767,75946.0,106.11.12
32474,16.112963811268894,39294.0,106.11.12
32479,17.89788695356248,32323.0,106.11.14
32496,19.07214840193219,64797.0,106.11.15
32513,18.76706736756552,76283.0,106.11.16
32530,17.161338568408343,82775.0,106.11.17
32547,15.780421694000918,83046.0,106.11.18
32565,15.764205430598292,77671.0,106.11.19
32600,16.675505343693253,33591.0,106.11.19
32606,16.04471651231082,44270.0,106.11.21
32623,15.8743917603172,85246.0,106.11.22
32640,14.944447763251617,87046.0,106.11.23
32657,14.290680238106058,88028.0,106.11.24
32674,13.642007684263175,87972.0,106.11.25
32692,12.7805365216986,85812.0,106.11.26
32726,12.479599477360674,39798.0,106.11.26
32731,13.729221531203088,46630.0,106.11.28
32748,12.234133899703224,105467.0,106.11.29
32765,10.94066235059761,96384.0,106.11.30
32782,10.285150411236716,79881.0,106.12.01
32799,10.116346165338047,83671.0,106.12.02
32817,10.504642412358566,75478.0,106.12.03
32852,10.650294367476054,34141.0,106.12.03
32858,12.546484233921376,35995.0,106.12.05
32875,13.175079194120627,63136.0,106.12.06
32892,14.447664871003884,65157.0,106.12.07
