,P,Q,t
3,23.798076923076923,52.0,101.01.03
16,25.35625,160.0,101.01.04
29,26.46987951807229,747.0,101.01.05
42,25.248703956343792,5864.0,101.01.06
55,22.396259440248784,11255.0,101.01.07
68,19.377381434941228,12335.0,101.01.08
84,18.72402854877081,6305.0,101.01.08
94,20.676084099868596,3044.0,101.01.10
107,21.55603735823883,5996.0,101.01.11
120,21.912163416898792,7539.0,101.01.12
133,17.706632568883023,12122.0,101.01.13
146,14.718736059479555,10760.0,101.01.14
159,13.774400000000002,6500.0,101.01.15
176,14.325496183206107,3275.0,101.01.15
185,15.414581734458942,6515.0,101.01.17
198,14.357410682702511,14135.0,101.01.18
211,13.92458749709505,12909.0,101.01.19
224,13.49257282116746,17234.0,101.01.20
237,14.740826564739612,20930.0,101.01.21
250,16.7567615658363,11240.0,101.01.22
263,15.572062084257206,2255.0,101.01.22
281,15.893847462432662,3527.0,101.01.28
294,16.84155054471751,3947.0,101.01.29
307,23.526633165829143,1990.0,101.01.30
326,23.185987261146497,1570.0,101.01.30
333,24.59665653495441,1974.0,101.02.01
346,21.385433665760047,6618.0,101.02.02
359,19.772477678571427,8960.0,101.02.03
372,19.20661211853162,9044.0,101.02.04
385,19.323889517040865,6191.0,101.02.05
403,20.585099111414905,1463.0,101.02.05
424,21.42788203753351,1865.0,101.02.09
437,21.419667774086378,7525.0,101.02.10
450,20.743076923076924,10725.0,101.02.11
469,19.990029615004936,5065.0,101.02.11
473,19.38540870893812,5236.0,101.02.13
489,18.72269649690904,10191.0,101.02.14
502,15.84294813466788,10990.0,101.02.15
515,14.29838300847828,11441.0,101.02.16
528,14.084548192771084,13280.0,101.02.17
541,13.840492226348587,15887.0,101.02.18
561,13.929352302508423,8013.0,101.02.18
564,12.623692003948667,8104.0,101.02.20
580,13.489137139332463,14591.0,101.02.21
593,13.172723600226227,12377.0,101.02.22
606,12.329775011967447,8356.0,101.02.23
619,13.68310682952004,5813.0,101.02.24
632,12.079932150313152,11496.0,101.02.25
651,11.51520431954841,8149.0,101.02.25
655,14.51544227886057,3335.0,101.02.27
671,14.768217054263566,7740.0,101.02.28
684,14.24025377744386,11979.0,101.02.29
697,14.006830549821728,10658.0,101.03.01
710,14.766345056541134,9639.0,101.03.02
723,15.01465926462306,12429.0,101.03.03
743,15.131460674157305,5874.0,101.03.03
746,14.68697318007663,6525.0,101.03.05
762,13.481107491856678,13815.0,101.03.06
775,12.812691317892456,14766.0,101.03.07
788,12.50465197621546,11436.0,101.03.08
801,11.57563025210084,4760.0,101.03.09
814,14.772892938496582,4390.0,101.03.10
833,15.034261838440113,3590.0,101.03.10
837,43.3,56.0,101.03.12
853,16.44117272147865,6276.0,101.03.13
866,15.912955465587045,9880.0,101.03.14
879,15.449226006191951,6460.0,101.03.15
892,15.753042921204356,6244.0,101.03.16
905,15.323824901327592,8361.0,101.03.17
925,14.867297132397804,4917.0,101.03.17
928,16.156468531468533,2860.0,101.03.19
944,13.137806606344707,9173.0,101.03.20
957,11.186662910495812,12424.0,101.03.21
970,9.932138384470884,12776.0,101.03.22
983,8.422575319851422,12115.0,101.03.23
996,7.770409967168954,11879.0,101.03.24
