,P,Q,t
5,28.8098756660746,25335.0,101.01.03
18,29.2276584358994,26162.0,101.01.04
31,29.342613835206283,25717.0,101.01.05
44,29.38126544505059,21447.0,101.01.06
57,28.991905813097866,13590.0,101.01.07
76,27.424812030075188,5320.0,101.01.07
78,25.9987525987526,24050.0,101.01.09
96,25.282721814543027,37475.0,101.01.10
109,23.94525652049298,34890.0,101.01.11
122,23.878536418556937,43865.0,101.01.12
135,22.56642553191489,47000.0,101.01.13
148,20.802711993888465,52360.0,101.01.14
167,20.27341498559078,27760.0,101.01.14
169,17.5,28370.0,101.01.16
187,17.442494880708605,41998.0,101.01.17
200,17.486018447715544,41848.0,101.01.18
213,18.121643481074084,61820.0,101.01.19
226,18.131404460518382,74655.0,101.01.20
239,17.465726107305162,73715.0,101.01.21
257,17.1,32660.0,101.01.21
274,17.3,24750.0,101.01.27
283,17.61417362692989,39510.0,101.01.28
296,19.052684274123944,28965.0,101.01.29
313,20.0,14205.0,101.01.29
317,21.159538683325323,31215.0,101.01.31
335,21.54739623472421,45415.0,101.02.01
348,22.71362280411004,30170.0,101.02.02
361,22.7294498381877,33990.0,101.02.03
374,22.15030709101061,35820.0,101.02.04
387,21.08419155509784,38840.0,101.02.05
404,20.47861216730038,21040.0,101.02.05
416,19.382492863939103,21020.0,101.02.08
426,20.11619443722381,38470.0,101.02.09
439,19.925312749534204,37570.0,101.02.10
452,18.972008165348303,39190.0,101.02.11
470,18.949606712113265,19070.0,101.02.11
474,18.898119290703924,18610.0,101.02.13
491,18.71980015777018,38030.0,101.02.14
504,18.09698169223157,40420.0,101.02.15
517,17.736658354114713,40100.0,101.02.16
530,15.722190660152256,44005.0,101.02.17
543,13.843911167245553,47505.0,101.02.18
562,13.53008849557522,22600.0,101.02.18
565,12.072720822986875,28190.0,101.02.20
582,12.142629340892984,56440.0,101.02.21
595,12.39623609923011,58450.0,101.02.22
608,12.538649155722329,53300.0,101.02.23
621,12.52222892778113,49710.0,101.02.24
634,12.426257690915673,55260.0,101.02.25
652,12.319197207678885,28650.0,101.02.25
656,12.0,32900.0,101.02.27
673,12.133217446270544,63280.0,101.02.28
686,12.53369720974416,62109.0,101.02.29
699,13.0158080535099,59204.0,101.03.01
712,13.315544941380807,57575.0,101.03.02
725,13.014580425003878,64470.0,101.03.03
744,12.729997090485888,34370.0,101.03.03
747,12.355979899497488,29850.0,101.03.05
764,12.329341527655838,56950.0,101.03.06
777,12.3354296790868,55716.0,101.03.07
790,12.434127486119896,56916.0,101.03.08
803,12.410546875,51200.0,101.03.09
816,12.3,59110.0,101.03.10
834,12.3,36210.0,101.03.10
838,12.5,22000.0,101.03.12
855,12.55859375,51200.0,101.03.13
868,12.823820943245403,62550.0,101.03.14
881,12.813299232736572,58650.0,101.03.15
894,12.532728881026095,45220.0,101.03.16
907,12.485653053934993,41995.0,101.03.17
926,12.456398640996602,22075.0,101.03.17
929,12.5,22860.0,101.03.19
946,12.018837948252385,44060.0,101.03.20
959,11.502485659655832,52300.0,101.03.21
972,10.694704178733968,60425.0,101.03.22
985,9.442464757809306,66043.0,101.03.23
998,8.63926122931442,67680.0,101.03.24
1016,8.059686066791551,30962.0,101.03.24
1020,8.291139240506329,47400.0,101.03.26
1037,7.84375,86400.0,101.03.27
1050,7.583856741948416,74830.0,101.03.28
1063,7.757027878222326,85730.0,101.03.29
1076,7.488010515444559,106510.0,101.03.30
1089,7.280496453900709,90240.0,101.03.31
1102,7.3701906412478335,80780.0,101.04.01
1115,7.320307460761127,93020.0,101.04.02
1127,7.241655331170869,95570.0,101.04.03
1143,7.341247484909457,49700.0,101.04.03
1149,6.575128267774248,40930.0,101.04.05
1159,6.765176571001814,93730.0,101.04.06
1171,7.041703913162456,109630.0,101.04.07
1190,7.16174555692416,56830.0,101.04.07
1193,8.574550128534705,38900.0,101.04.09
1210,8.603183315038418,91100.0,101.04.10
1222,8.632502492522432,100300.0,101.04.11
1236,8.476975979268415,100330.0,101.04.12
1249,8.071810353360387,101030.0,101.04.13
1262,7.562747035573122,101200.0,101.04.14
1281,7.341793893129771,52400.0,101.04.14
1284,6.818900343642611,43650.0,101.04.16
1301,7.247979963689656,91434.0,101.04.17
1314,7.562455294354029,99540.0,101.04.18
1327,7.512075871819039,101856.0,101.04.19
1339,7.46978417266187,97300.0,101.04.20
1352,7.730634347601857,96950.0,101.04.21
1369,8.042713567839195,49750.0,101.04.21
1372,8.330205949656753,43700.0,101.04.23
1389,8.391017964071857,83500.0,101.04.24
1401,8.50670486407412,82030.0,101.04.25
1415,8.525981591518118,85830.0,101.04.26
1428,8.455132647125769,79082.0,101.04.27
1441,8.517106884802203,82762.0,101.04.28
1460,8.604991539763112,47280.0,101.04.28
1463,8.152359990217658,20445.0,101.04.30
1480,7.375921828908554,35256.0,101.05.01
1493,7.832232548087314,23135.0,101.05.02
1506,9.826207873546078,26824.0,101.05.03
1519,10.836084470675027,43376.0,101.05.04
1532,11.815123987232996,48876.0,101.05.05
1551,11.8,24000.0,101.05.05
1554,12.0,30000.0,101.05.07
1571,12.13546617915905,54700.0,101.05.08
1584,12.460151154363809,38636.0,101.05.09
1597,12.766414184885525,23236.0,101.05.10
1610,12.856542056074767,21400.0,101.05.11
1623,12.847265625,25600.0,101.05.12
1641,12.8,13500.0,101.05.12
1645,12.0,12800.0,101.05.14
1662,11.049053356282272,29050.0,101.05.15
1675,10.34645799011532,30350.0,101.05.16
1688,10.497080291970804,27400.0,101.05.17
1701,10.184684197236953,27723.0,101.05.18
1714,11.56141852416924,26873.0,101.05.19
1733,13.6,12450.0,101.05.19
1736,13.8,10900.0,101.05.21
1753,13.81901203819012,12045.0,101.05.22
1766,14.254473161033795,7545.0,101.05.23
1779,14.657230298393268,13070.0,101.05.24
1798,15.0,6670.0,101.05.24
1825,13.4,1990.0,101.05.28
1849,13.4,1990.0,101.05.28
1855,15.9,389.0,101.05.30
1875,15.9,389.0,101.05.30
1881,15.199852778800148,2717.0,101.06.01
1901,15.199852778800148,2717.0,101.06.01
1977,13.1,1340.0,101.06.09
1996,13.1,1340.0,101.06.09
3264,35.0,290.0,101.09.26
3284,35.0,290.0,101.09.26
3290,25.6,500.0,101.09.28
3310,25.6,500.0,101.09.28
3334,30.0,382.0,101.10.02
3350,30.0,382.0,101.10.02
3356,14.055875831485588,4510.0,101.10.04
3369,13.527161862527716,9020.0,101.10.05
3382,12.466666666666669,10290.0,101.10.06
3401,12.051730103806229,5780.0,101.10.06
3468,21.0,1150.0,101.10.13
3486,21.0,1150.0,101.10.13
3506,12.017259978425027,927.0,101.10.16
3519,15.882025598219254,1797.0,101.10.17
3532,19.83686440677966,4720.0,101.10.18
3545,19.74037460978148,4805.0,101.10.19
3565,19.5,955.0,101.10.19
3595,15.63969795037756,9270.0,101.10.23
3608,15.66261107313739,14630.0,101.10.24
3621,15.910750695088044,10790.0,101.10.25
3634,14.428882220555138,13330.0,101.10.26
3647,11.981893004115229,14580.0,101.10.27
3665,10.459880239520958,6680.0,101.10.27
3668,12.534564643799472,3790.0,101.10.29
3686,11.26969476744186,13760.0,101.10.30
3699,10.489178976296806,20377.0,101.10.31
3712,9.213425983372623,24177.0,101.11.01
3725,8.661016949152545,31270.0,101.11.02
3738,8.628826530612244,39200.0,101.11.03
3757,8.47926267281106,21700.0,101.11.03
3759,8.487804878048781,20500.0,101.11.05
3777,8.43153006733225,43070.0,101.11.06
3790,8.262928114414754,26570.0,101.11.07
3803,8.07233502538071,19700.0,101.11.08
3816,7.592616580310881,38600.0,101.11.09
3829,6.993278025951925,47010.0,101.11.10
