,P,Q,t
6,28.14664676549408,29479.0,101.01.03
19,28.10136032611185,43666.0,101.01.04
32,27.71682156133829,43040.0,101.01.05
45,27.08534806169237,38384.0,101.01.06
58,26.593624134572355,37987.0,101.01.07
70,25.72871276707715,38004.0,101.01.08
79,24.80024015587476,44138.0,101.01.09
97,24.58403138585516,47155.0,101.01.10
110,24.213793103448275,47125.0,101.01.11
123,21.95910496634528,54970.0,101.01.12
136,20.093132580510247,59775.0,101.01.13
149,18.87514638505948,48673.0,101.01.14
161,17.879051765844217,51675.0,101.01.15
170,17.87980969579108,57592.0,101.01.16
188,17.932263748492996,53915.0,101.01.17
201,18.049198322866243,55571.0,101.01.18
214,18.296348858211843,62008.0,101.01.19
227,17.69006567164179,83750.0,101.01.20
240,17.30763618980317,96226.0,101.01.21
252,18.13511932007967,80833.0,101.01.22
265,19.07470251211988,34035.0,101.01.22
270,22.5,3080.0,101.01.24
271,22.182033096926716,8460.0,101.01.25
272,21.4248595505618,14240.0,101.01.26
275,23.438134810710988,16245.0,101.01.27
284,26.30981123792801,22780.0,101.01.28
297,25.207683741648108,35920.0,101.01.29
309,24.67918969725877,35641.0,101.01.30
318,24.931626133553177,38816.0,101.01.31
336,25.106150945319268,39246.0,101.02.01
349,24.49675166709596,34941.0,101.02.02
362,22.98462123815602,40738.0,101.02.03
375,21.664073843600917,43389.0,101.02.04
388,20.67041297711849,39639.0,101.02.05
399,20.269775026965945,38938.0,101.02.06
408,20.34349157733537,32650.0,101.02.07
417,20.673212882953653,25460.0,101.02.08
427,20.12564553053293,37566.0,101.02.09
440,20.01268065453677,50234.0,101.02.10
453,20.58080920564217,53880.0,101.02.11
464,20.60803281816447,52410.0,101.02.12
475,20.457702702702704,42180.0,101.02.13
492,19.60669200957765,40511.0,101.02.14
505,17.669423367252907,51003.0,101.02.15
518,15.51952257101958,49599.0,101.02.16
531,13.908999705948489,57813.0,101.02.17
544,13.505270661128703,72951.0,101.02.18
555,12.795137978160936,72439.0,101.02.19
566,12.570547668603025,64382.0,101.02.20
583,12.85217929182445,66283.0,101.02.21
596,12.84599020432395,80852.0,101.02.22
609,12.693137202886248,75392.0,101.02.23
622,12.19530130348734,58612.0,101.02.24
635,11.715535855349776,68358.0,101.02.25
646,11.75301591981132,67840.0,101.02.26
657,12.097659778294789,58456.0,101.02.27
674,12.793467453556996,68794.0,101.02.28
687,13.510167193854496,59751.0,101.02.29
700,13.698329441012506,53096.0,101.03.01
713,13.086542962654738,76904.0,101.03.02
726,12.60383539944077,83329.0,101.03.03
737,12.351477786727802,64556.0,101.03.04
748,12.749499509723812,48952.0,101.03.05
765,13.269985319631656,52451.0,101.03.06
778,13.283999643048366,56030.0,101.03.07
791,13.010111587695194,59684.0,101.03.08
804,12.680018816361274,66963.0,101.03.09
817,12.532087700347414,68506.0,101.03.10
828,12.71389461954312,66407.0,101.03.11
839,13.168220551378448,49875.0,101.03.12
856,13.7730495196909,56422.0,101.03.13
869,13.960420324279664,77464.0,101.03.14
882,13.82168835828685,61314.0,101.03.15
895,13.873778619217996,62327.0,101.03.16
908,13.96845161694268,63886.0,101.03.17
919,13.937897634922214,60294.0,101.03.18
930,13.772602035250666,64169.0,101.03.19
947,12.696920713165392,62482.0,101.03.20
960,11.727054956686445,71802.0,101.03.21
973,10.718943818794934,78585.0,101.03.22
986,9.285110610085498,89594.0,101.03.23
999,8.306052422143072,76647.0,101.03.24
1010,8.027707228487584,75991.0,101.03.25
1021,8.1210586353548,80651.0,101.03.26
1038,8.451668481584797,67037.0,101.03.27
1051,8.175868050047065,94551.0,101.03.28
1064,7.966221962125438,109361.0,101.03.29
1077,7.607291948223564,99891.0,101.03.30
1090,7.575242297254888,108338.0,101.03.31
1103,7.836302115481734,89105.0,101.04.01
1116,7.490906548489803,92968.0,101.04.02
1128,7.430238591106727,109476.0,101.04.03
1136,7.413584675035818,99811.0,101.04.04
1150,7.111068594340093,60107.0,101.04.05
1160,7.154389584103692,51383.0,101.04.06
1172,7.58591169613367,82352.0,101.04.07
1183,8.099127881875486,92648.0,101.04.08
1194,8.349759436535885,80644.0,101.04.09
1211,8.37541937196785,82862.0,101.04.10
1223,8.013753090726283,97469.0,101.04.11
1237,7.657816840475432,87836.0,101.04.12
1250,7.373424863644913,85072.0,101.04.13
1263,7.16747430161567,83371.0,101.04.14
1274,7.062539537115808,91686.0,101.04.15
1285,7.002626819395401,69666.0,101.04.16
1302,7.402041785375118,58968.0,101.04.17
1315,7.718423796559114,69052.0,101.04.18
1328,8.065619732360934,58138.0,101.04.19
1340,8.240258416571276,63773.0,101.04.20
1353,8.409021992043835,66615.0,101.04.21
1364,8.586204652676102,61470.0,101.04.22
1373,8.767040650696538,56063.0,101.04.23
1390,8.785630737474877,55229.0,101.04.24
1402,8.644312739870257,58886.0,101.04.25
1416,8.649425882496269,65666.0,101.04.26
1429,8.724737064796905,66176.0,101.04.27
1442,8.622645702113314,65253.0,101.04.28
1453,8.55800045933961,56603.0,101.04.29
1464,8.379035934057585,52652.0,101.04.30
1481,8.589049538594796,60034.0,101.05.01
1494,9.760557701286023,47122.0,101.05.02
1507,11.551850048685491,41080.0,101.05.03
1520,13.035113854011492,46990.0,101.05.04
1533,14.518701761329902,50530.0,101.05.05
1544,15.0,42890.0,101.05.06
1555,15.501046963804963,33430.0,101.05.07
1572,16.356862745098038,34170.0,101.05.08
1585,16.60641417226634,32740.0,101.05.09
1598,16.064979154258488,33580.0,101.05.10
1611,15.587683073229291,41650.0,101.05.11
1624,15.5,41660.0,101.05.12
1635,15.950526315789476,33250.0,101.05.13
1646,16.595718760877133,28730.0,101.05.14
1663,16.252492130115424,38120.0,101.05.15
1676,16.37704498977505,39120.0,101.05.16
1689,16.855919661733616,28380.0,101.05.17
1702,17.08077662437524,26010.0,101.05.18
1715,17.613077058100753,28485.0,101.05.19
1726,17.82128722027002,27035.0,101.05.20
1737,18.719471554391813,21005.0,101.05.21
1754,19.75833533221396,20845.0,101.05.22
1767,20.464711729622262,20120.0,101.05.23
1780,20.698345354263896,23570.0,101.05.24
1792,20.279151943462896,25470.0,101.05.25
1805,20.258997429305914,23340.0,101.05.26
1816,20.36980337078652,21360.0,101.05.27
1826,20.103114571746385,17980.0,101.05.28
1842,19.724137931034484,19430.0,101.05.29
1856,19.238222222222223,22500.0,101.05.30
1868,19.319122401847576,21650.0,101.05.31
1882,19.310656474820146,22240.0,101.06.01
1894,18.76832971800434,23050.0,101.06.02
1906,18.16737100737101,20350.0,101.06.03
1914,18.14411146161935,19020.0,101.06.04
1930,17.95169082125604,20700.0,101.06.05
1942,18.001537110232764,22770.0,101.06.06
1954,17.48448275862069,23200.0,101.06.07
1966,14.783963227783453,27412.0,101.06.08
1978,12.995394618024202,33222.0,101.06.09
1991,12.444781043791242,33340.0,101.06.10
1999,12.7622279601623,27110.0,101.06.11
2016,14.165921106140708,24590.0,101.06.12
2028,16.170358437374144,24830.0,101.06.13
2040,17.521517815826005,21610.0,101.06.14
2052,17.725781074398743,22245.0,101.06.15
2064,17.935236267690094,20845.0,101.06.16
2076,16.54070929070929,20020.0,101.06.17
2083,16.36556603773585,21200.0,101.06.18
2100,18.133191890617635,21210.0,101.06.19
2112,19.63019508057676,23580.0,101.06.20
2124,21.137163561076605,19320.0,101.06.21
2136,22.628380431479798,16455.0,101.06.22
2148,21.30935251798561,18765.0,101.06.23
2155,19.73750790638836,15810.0,101.06.24
2166,19.41776259607173,11710.0,101.06.25
2175,18.429371316306483,20360.0,101.06.26
2186,18.4403080872914,31160.0,101.06.27
2198,19.831229715109988,27730.0,101.06.28
2210,20.90457804743519,18130.0,101.06.29
2222,20.88748685594112,19020.0,101.06.30
2234,21.23051010587103,20780.0,101.07.01
2241,21.42989417989418,15120.0,101.07.02
2258,22.24405984159577,17045.0,101.07.03
2270,22.23683492496589,18325.0,101.07.04
2282,21.57304526748971,19440.0,101.07.05
2294,21.703257627896303,21795.0,101.07.06
2306,21.97080745341615,20125.0,101.07.07
2318,21.900510204081638,19600.0,101.07.08
2325,21.591183574879228,16560.0,101.07.09
2342,22.04442970822281,15080.0,101.07.10
2354,22.13449087698646,16990.0,101.07.11
2366,21.4933147632312,17950.0,101.07.12
2378,21.50197628458498,17710.0,101.07.13
2390,23.52157001414427,14140.0,101.07.14
2402,26.106029106029105,14430.0,101.07.15
2409,26.867698803659398,14210.0,101.07.16
2425,28.884115523465702,13850.0,101.07.17
2437,30.258312020460355,15640.0,101.07.18
2449,31.55,13300.0,101.07.19
2461,31.6051724137931,14500.0,101.07.20
2473,30.415764139590856,16620.0,101.07.21
2484,28.350602409638554,16600.0,101.07.22
2492,28.231274638633376,15220.0,101.07.23
2508,29.061269146608318,13710.0,101.07.24
2520,28.00191326530612,15680.0,101.07.25
2532,26.923442136498515,16850.0,101.07.26
2544,26.134314903846157,16640.0,101.07.27
2556,26.075511432009627,16620.0,101.07.28
2568,25.675,15600.0,101.07.29
2575,26.020848845867462,13430.0,101.07.30
2592,27.17161961367013,13460.0,101.07.31
