,P,Q,t
12,31.72362095040993,25126.0,101.01.03
25,31.15308910772427,25031.5,101.01.04
38,30.047546201565492,30789.0,101.01.05
51,25.01084208923405,32835.0,101.01.06
64,21.172145878173964,33219.5,101.01.07
77,20.58092913797612,17209.5,101.01.07
80,22.630127572716447,14697.5,101.01.09
103,24.211195008544287,25163.0,101.01.10
116,26.862126904856368,21425.5,101.01.11
129,26.711460887622334,22633.5,101.01.12
142,25.138064069341432,22382.0,101.01.13
155,24.790986145069272,24540.0,101.01.14
168,25.405053681813254,13831.5,101.01.14
172,22.40091171554475,16452.5,101.01.16
194,21.96448726190073,29557.0,101.01.17
207,22.23964434251288,29213.5,101.01.18
220,21.139677209423404,38415.0,101.01.19
233,22.844444444444445,46174.5,101.01.20
246,30.094001630537974,44770.5,101.01.21
259,35.18940292794949,20902.0,101.01.21
273,39.65659068947877,8796.5,101.01.26
277,40.447869428581086,14796.5,101.01.27
290,33.45643762328082,18504.5,101.01.28
303,27.52452258538376,21784.0,101.01.29
312,25.899158317591645,20910.5,101.01.30
329,26.77474851689451,11631.0,101.01.30
342,25.991408176993797,13379.0,101.02.01
355,22.812050349215,25700.5,101.02.02
368,21.12223243439352,20672.5,101.02.03
381,26.108226565843918,17522.5,101.02.04
394,27.32130752936646,25965.0,101.02.05
407,26.79749010033644,16793.5,101.02.05
420,29.961819023179505,11885.5,101.02.08
433,27.764106469975147,24946.0,101.02.09
446,24.338693686548226,25216.0,101.02.10
459,25.134322390984813,25512.5,101.02.11
472,27.25215991614884,13357.0,101.02.11
477,21.64478118792849,15607.0,101.02.13
498,20.54370909338184,29411.5,101.02.14
511,19.802545665285795,23294.5,101.02.15
524,19.329573114512264,21692.0,101.02.16
537,17.311042354494862,26502.5,101.02.17
550,13.811775264478824,31477.0,101.02.18
563,11.666244578348326,17176.5,101.02.18
568,13.99644633972992,14070.0,101.02.20
589,13.961261215932916,29812.5,101.02.21
602,13.556763277149283,30673.0,101.02.22
615,12.85309593615906,25751.5,101.02.23
628,12.406829864329652,23734.0,101.02.24
641,13.333537887909271,25747.0,101.02.25
654,14.281198379304971,12834.0,101.02.25
659,19.436857562408225,13620.0,101.02.27
680,20.369667671350843,25547.0,101.02.28
693,21.634192620987065,20870.0,101.02.29
706,21.004793196752995,20696.0,101.03.01
719,20.338833944973157,24115.5,101.03.02
732,19.92146581050343,24839.5,101.03.03
745,19.49359621703935,12477.0,101.03.03
750,20.074496644295305,11920.0,101.03.05
771,18.672937293729376,24088.5,101.03.06
784,18.017985920534542,20952.5,101.03.07
797,15.463364849715504,23638.5,101.03.08
809,12.712699629259944,28052.0,101.03.09
823,12.199387648671838,29721.5,101.03.10
836,12.375417574437185,16524.0,101.03.10
841,15.840698240091571,17472.5,101.03.12
862,15.987850481986444,31795.5,101.03.13
875,17.705930884184315,25696.0,101.03.14
888,18.35962456775894,24292.0,101.03.15
901,16.070398222526062,29255.0,101.03.16
914,14.574397541166164,33674.5,101.03.17
927,14.028407878420856,17338.5,101.03.17
932,10.394804562206474,21761.4,101.03.19
953,9.575638239389225,38927.4,101.03.20
966,8.315964677053955,32443.5,101.03.21
979,8.482994567426735,27059.0,101.03.22
992,8.866076653911477,24434.5,101.03.23
1005,10.574490404100608,25167.0,101.03.24
