,P,Q,t
8,25.92831483859637,455535.0,101.01.03
21,25.579179252572796,455536.0,101.01.04
34,24.87985906708538,456955.0,101.01.05
47,24.09807807807808,457875.0,101.01.06
60,23.52660982032876,470860.0,101.01.07
72,22.93295902883156,263600.0,101.01.08
87,21.64588235294117,24650.0,101.01.08
99,20.91903144096916,232531.0,101.01.10
112,20.15339764426569,466691.0,101.01.11
125,19.390027821722764,458275.0,101.01.12
138,18.91955764445673,452125.0,101.01.13
151,17.75057712714122,461770.0,101.01.14
163,16.99640745966973,262210.0,101.01.15
171,17.007774272965072,259960.0,101.01.16
190,16.813514520547944,456250.0,101.01.17
203,16.217622048603616,463340.0,101.01.18
216,15.786109062964078,481465.0,101.01.19
229,15.259177957462812,505205.0,101.01.20
242,14.99388392452374,496315.0,101.01.21
258,15.120237204829577,233975.0,101.01.21
276,21.600290518748302,203085.0,101.01.27
286,21.653775202221414,414150.0,101.01.28
299,21.652634664098645,238835.0,101.01.29
310,22.375509222834165,228780.0,101.01.30
320,22.486899988616383,395305.0,101.01.31
338,22.190916589469943,394015.0,101.02.01
351,21.539866417514716,396010.0,101.02.02
364,20.46320012979233,400640.0,101.02.03
377,19.70649636803874,413000.0,101.02.04
390,19.324321203769227,268490.0,101.02.05
401,18.433600908746687,132050.0,101.02.06
409,19.431908325763484,248794.0,101.02.07
418,19.728266235706936,361364.0,101.02.08
429,19.532042122100773,375100.0,101.02.09
442,19.023506763520626,389590.0,101.02.10
455,18.646114797939777,403840.0,101.02.11
471,18.661944566652,204570.0,101.02.11
476,16.881330053833302,215480.0,101.02.13
494,16.441496470143793,423530.0,101.02.14
507,15.355263032270384,418960.0,101.02.15
520,14.33865671820258,418155.0,101.02.16
533,13.070795572547908,423720.0,101.02.17
546,12.330236802534465,435595.0,101.02.18
557,12.414431877223132,250210.0,101.02.19
567,11.285367168547111,259690.0,101.02.20
585,11.181615826677271,446335.0,101.02.21
598,11.36960118031111,430395.0,101.02.22
611,11.382284809981424,436010.0,101.02.23
624,11.216082069339112,443040.0,101.02.24
637,11.157826713873083,435534.0,101.02.25
653,11.142421841700488,215844.0,101.02.25
658,11.434702677090735,211050.0,101.02.27
676,11.60936447683351,410701.0,101.02.28
689,11.70255093768578,407066.0,101.02.29
702,11.37397595023792,418632.0,101.03.01
715,10.990692323830393,428990.0,101.03.02
728,10.86496435085392,440263.0,101.03.03
739,10.90666029318037,251040.0,101.03.04
749,10.837806507387612,254480.0,101.03.05
767,10.814585555942369,445235.0,101.03.06
780,10.813301276624564,442965.0,101.03.07
793,10.755274366197185,443750.0,101.03.08
806,10.702987507284382,439296.0,101.03.09
819,10.696165761398015,442226.0,101.03.10
835,10.69450721908349,223020.0,101.03.10
840,12.227330146260076,218173.0,101.03.12
858,12.227250709659891,434363.0,101.03.13
871,12.775301298961809,428727.0,101.03.14
884,12.823944949646515,429861.0,101.03.15
897,12.254813448356936,442344.0,101.03.16
910,12.24346821572381,454470.0,101.03.17
921,12.250593968930856,262640.0,101.03.18
931,11.097942623711818,269275.0,101.03.19
949,10.887319582596737,471199.0,101.03.20
