,P,Q,t
20704,8.089062821833162,19420.0,105.01.01
20721,7.125628127469054,37970.0,105.01.02
20739,6.470575955734406,39760.0,105.01.03
20758,6.779801980198019,21210.0,105.01.04
20778,8.092678234628442,26510.0,105.01.05
20794,7.776423141891892,47360.0,105.01.06
20810,7.59445050215208,34850.0,105.01.07
20826,7.62528849218999,31370.0,105.01.08
20842,7.589040862656074,35240.0,105.01.09
20859,7.022073170731707,37720.0,105.01.10
20877,6.333904282115869,19850.0,105.01.11
20897,5.536960784313726,18360.0,105.01.12
20914,5.9168381718884735,34790.0,105.01.13
20930,5.826819899244332,31760.0,105.01.14
20946,5.224716417910447,33500.0,105.01.15
20962,6.05039847161572,36640.0,105.01.16
20979,6.206188387096773,38750.0,105.01.17
20998,5.569999999999999,20280.0,105.01.18
21018,6.760602409638555,24900.0,105.01.19
21034,6.30613981762918,39480.0,105.01.20
21050,6.465304822565968,32970.0,105.01.21
21066,7.899506271684013,37470.0,105.01.22
21082,8.805542962572483,37940.0,105.01.23
21099,9.7293265993266,38610.0,105.01.24
21117,10.381154430379748,19750.0,105.01.25
21137,16.912651347768453,22630.0,105.01.26
21154,19.037968818620996,45540.0,105.01.27
21170,18.376200145032637,41370.0,105.01.28
21186,14.216798853320592,41860.0,105.01.29
21202,14.390282666666666,37500.0,105.01.30
21219,14.47783783783784,26270.0,105.01.31
21237,13.13433032046015,12170.0,105.02.01
21257,17.892416918429003,26480.0,105.02.02
21274,17.892416918429007,52960.0,105.02.03
21290,14.586269061335145,59020.0,105.02.04
21306,11.187053234595496,71570.0,105.02.05
21322,10.366588830043334,83080.0,105.02.06
21338,10.449526191468667,71970.0,105.02.07
21358,10.901260744985674,27920.0,105.02.08
21378,0.0,0.0,105.02.09
21398,0.0,0.0,105.02.10
21418,0.0,0.0,105.02.11
21438,0.0,0.0,105.02.12
21457,14.746354581673309,10040.0,105.02.13
21476,15.379009515570935,23120.0,105.02.14
21494,15.864625382262998,13080.0,105.02.15
21512,14.920000000000002,18020.0,105.02.16
21529,14.359058992805757,34750.0,105.02.17
21546,13.75486551105798,33460.0,105.02.18
21562,16.52723250433777,34580.0,105.02.19
21578,18.65965953531171,43470.0,105.02.20
21595,17.022581385642734,47920.0,105.02.21
21612,15.514775784753365,22300.0,105.02.22
21633,24.173228346456693,3810.0,105.02.23
21650,16.77822673305247,26110.0,105.02.24
21666,19.566620477290225,38970.0,105.02.25
21682,26.324873741285828,32275.0,105.02.26
21698,25.537733605796028,26915.0,105.02.27
21715,22.067430776214252,22030.0,105.02.28
21734,21.63255597014925,10720.0,105.02.29
21754,22.646316440049443,16180.0,105.03.01
21770,20.46430525557955,27780.0,105.03.02
21786,19.517840642785405,29870.0,105.03.03
