,P,Q,t
9,37.229502956688506,18771.0,101.01.03
22,36.01197475107625,37863.0,101.01.04
35,34.619318516929845,37301.0,101.01.05
48,33.97939819408612,40312.0,101.01.06
61,31.65824815656941,47059.0,101.01.07
73,30.555522755227557,52845.0,101.01.08
88,31.12445050019721,27889.0,101.01.08
100,31.428934817170116,23902.0,101.01.10
113,30.39776663031625,45850.0,101.01.11
126,29.28612827567544,44342.0,101.01.12
139,25.043559017375667,55077.0,101.01.13
152,21.068469080521886,64765.0,101.01.14
164,20.190900686098,61653.0,101.01.15
179,20.410943153765512,29571.0,101.01.15
191,22.601732411549413,24590.0,101.01.17
204,21.25617331093121,58923.0,101.01.18
217,19.208810009193748,75051.0,101.01.19
230,19.208519940779123,86456.0,101.01.20
243,20.209215482402787,101948.0,101.01.21
254,20.31756388026399,74397.0,101.01.22
267,20.18084345961401,18187.0,101.01.22
287,23.97433283462649,28741.0,101.01.28
300,24.1807069167228,56414.0,101.01.29
315,24.39504571242728,27673.0,101.01.29
321,24.578078581696214,29218.0,101.01.31
339,25.307788124074413,49293.0,101.02.01
352,24.463138838296285,45571.0,101.02.02
365,22.867396073684606,52874.0,101.02.03
378,22.31827342799189,61625.0,101.02.04
391,22.791051833493665,61331.0,101.02.05
405,23.855039875941515,27084.0,101.02.05
419,24.496144578313253,18675.0,101.02.08
430,24.32370082331197,41661.0,101.02.09
443,22.753834517110963,54205.0,101.02.10
456,22.38035869565217,55200.0,101.02.11
466,22.803717730102708,50434.0,101.02.12
483,22.38590330019279,26453.0,101.02.12
495,20.724272668735,34166.0,101.02.14
508,20.2502798893165,62882.0,101.02.15
521,18.995720091652583,59791.0,101.02.16
534,17.756286984614402,62526.0,101.02.17
547,16.670706783182943,70262.0,101.02.18
558,16.184473846882273,76033.0,101.02.19
574,16.092794583848264,37222.0,101.02.19
586,15.820135635337666,38633.0,101.02.21
599,15.8010497066996,71258.0,101.02.22
612,15.865306663134191,60392.0,101.02.23
625,15.85892589204026,54650.0,101.02.24
638,15.667134674111418,55341.0,101.02.25
648,15.047593269274143,66501.0,101.02.26
665,14.640530452382828,38043.0,101.02.26
677,15.006014641288434,34150.0,101.02.28
690,15.36927330051097,64387.0,101.02.29
703,15.514518219123136,64822.0,101.03.01
716,15.349003729664618,68907.0,101.03.02
729,15.42267501240188,68538.0,101.03.03
740,15.916948502206267,72974.0,101.03.04
756,16.347123174570413,38758.0,101.03.04
768,15.786972607776448,43516.0,101.03.06
781,15.50734832635983,80304.0,101.03.07
794,15.572695762252096,66356.0,101.03.08
807,16.17400402726146,64560.0,101.03.09
820,16.288426835211247,67717.0,101.03.10
830,16.21424275127707,69495.0,101.03.11
847,16.126556975795484,36770.0,101.03.11
859,17.48153672156641,28294.0,101.03.13
872,17.00814247471743,67240.0,101.03.14
885,16.62303467168433,72278.0,101.03.15
898,16.276118350538727,70908.0,101.03.16
911,15.862888876760175,73288.0,101.03.17
922,15.819949370035207,68734.0,101.03.18
938,15.942135545999635,33022.0,101.03.18
950,15.528478159490133,38598.0,101.03.20
963,14.976907201020676,79947.0,101.03.21
976,14.279885153235837,78017.0,101.03.22
989,13.319875673541135,78503.0,101.03.23
1002,11.640660768355271,93134.0,101.03.24
1012,10.987142749820237,93177.0,101.03.25
1029,11.203369310855342,41878.0,101.03.25
1041,11.484965534848095,39170.0,101.03.27
1054,11.353057567967594,77022.0,101.03.28
1067,10.755607765390456,77678.0,101.03.29
1080,10.554499402568952,80344.0,101.03.30
1093,10.568788403596594,84302.0,101.03.31
1106,9.920574845637294,92477.0,101.04.01
1121,9.519657856365392,48693.0,101.04.01
1131,10.840501586847065,41907.0,101.04.03
1138,10.759877405909036,81570.0,101.04.04
1153,10.6746917782316,39663.0,101.04.04
1175,10.215380269184982,49557.0,101.04.07
