,P,Q,t
10,27.39586102719033,13240.0,101.01.03
23,27.918655784356343,25301.0,101.01.04
36,26.749895543440967,26231.0,101.01.05
49,24.12741637464161,31390.0,101.01.06
62,22.000878661087867,33460.0,101.01.07
74,18.82167373354162,35848.0,101.01.08
89,17.232851897184823,19608.0,101.01.08
101,23.3,12190.0,101.01.10
114,23.13749979940624,12463.0,101.01.11
127,19.198661412621647,16749.0,101.01.12
140,18.204562211981564,34286.0,101.01.13
153,14.11483388349284,42109.0,101.01.14
165,12.70194691310638,33869.0,101.01.15
180,14.919498432601882,9570.0,101.01.15
192,14.58,10530.0,101.01.17
205,10.992803702275358,25930.0,101.01.18
218,13.49946989222118,34144.0,101.01.19
231,16.75164667715297,20344.0,101.01.20
244,16.217178841309824,15880.0,101.01.21
255,12.997551226916263,39530.0,101.01.22
268,10.6,25250.0,101.01.22
288,15.402300190294955,16816.0,101.01.28
301,15.272540822433106,35091.0,101.01.29
316,15.153140902872778,18275.0,101.01.29
322,24.117428087986465,11820.0,101.01.31
340,22.787003924989097,22930.0,101.02.01
353,22.40972600683106,26643.0,101.02.02
366,22.688836347512115,31573.0,101.02.03
379,19.44679556259905,37860.0,101.02.04
392,17.420183057959616,38130.0,101.02.05
406,17.455928877988963,16310.0,101.02.05
431,23.13504950495049,10100.0,101.02.09
444,23.15910196445276,21380.0,101.02.10
457,20.06450574712644,26100.0,101.02.11
467,18.725581993569136,31100.0,101.02.12
484,19.665823095823097,16280.0,101.02.12
496,18.43,15360.0,101.02.14
509,17.74244312870053,32090.0,101.02.15
522,16.10058782138024,36950.0,101.02.16
535,15.231886685552409,42360.0,101.02.17
548,15.68635383924562,44540.0,101.02.18
559,15.32976529399897,44609.0,101.02.19
575,14.48743752532757,22209.0,101.02.19
587,15.92237354085603,20560.0,101.02.21
600,15.80356227106227,43680.0,101.02.22
613,14.691761883994763,45860.0,101.02.23
626,13.496453501991098,42690.0,101.02.24
639,11.936945870275316,42860.0,101.02.25
649,12.003518201284798,46700.0,101.02.26
666,13.2106683480454,23790.0,101.02.26
678,13.682868217054263,19350.0,101.02.28
691,12.971988815949429,41130.0,101.02.29
704,12.313420772019622,46890.0,101.03.01
717,12.460862209539338,49060.0,101.03.02
730,12.582165230187094,47570.0,101.03.03
741,12.632738193869098,48280.0,101.03.04
757,12.73734793187348,24660.0,101.03.04
769,13.11,21780.0,101.03.06
782,12.785395058980638,44930.0,101.03.07
795,12.259502708235596,46894.0,101.03.08
810,12.044521563342318,23744.0,101.03.08
821,13.12645525629887,23020.0,101.03.10
831,13.082025862068964,23200.0,101.03.11
848,7.4,180.0,101.03.11
860,13.50443686006826,17580.0,101.03.13
873,14.694472049689445,37835.0,101.03.14
886,15.26976585139678,43135.0,101.03.15
899,14.282407996365288,44020.0,101.03.16
912,13.424686527345484,44980.0,101.03.17
923,12.939730146491904,51880.0,101.03.18
939,12.698944365192585,28040.0,101.03.18
951,12.731092896174864,21960.0,101.03.20
964,12.741266050912367,44390.0,101.03.21
977,11.181102204408818,49900.0,101.03.22
990,9.458101646892157,56470.0,101.03.23
1003,8.072936979785968,67280.0,101.03.24
1013,7.534311926605506,45780.0,101.03.25
1030,8.52608,7500.0,101.03.25
1042,7.061069743051914,38140.0,101.03.27
1055,8.050278745644599,68880.0,101.03.28
1068,9.13900132994801,33084.0,101.03.29
1081,8.738234225789443,34138.0,101.03.30
1094,8.6557391108102,62034.0,101.03.31
1107,8.139751280718688,67345.0,101.04.01
1122,7.879438081121142,37105.0,101.04.01
1132,8.30362593037215,41650.0,101.04.03
1145,8.30362593037215,41650.0,101.04.03
1163,7.84170696859415,37095.0,101.04.06
1176,8.111098835181698,71685.0,101.04.07
1187,8.328549413926195,70213.0,101.04.08
1203,8.259170760463745,35623.0,101.04.08
1215,8.598310622875283,35593.0,101.04.10
1227,8.676132667237338,71261.0,101.04.11
1241,7.429978241840689,79970.0,101.04.12
1254,6.89427986474024,81325.0,101.04.13
1267,6.799871225692551,77034.0,101.04.14
1278,5.94205317577548,81240.0,101.04.15
1294,5.763983846321764,41229.0,101.04.15
1306,6.683582000298999,33445.0,101.04.17
1319,7.555526383526384,58275.0,101.04.18
1332,9.065818571150478,51370.0,101.04.19
1344,8.930297209693187,58309.0,101.04.20
1357,8.612618965625197,63884.0,101.04.21
1367,8.196706847723476,68855.0,101.04.22
1382,7.782994011976048,36740.0,101.04.22
1394,9.59368924040204,30345.0,101.04.24
1406,9.091912725411689,66434.0,101.04.25
1420,7.162347110151407,79191.0,101.04.26
1433,6.957161012683713,79472.0,101.04.27
1446,8.013219309936323,67530.0,101.04.28
1457,7.384507855316039,68425.0,101.04.29
1473,7.050850664162082,37265.0,101.04.29
1485,6.747758827768436,41630.0,101.05.01
1498,8.34380308154829,66525.0,101.05.02
1511,11.188503569867406,48041.0,101.05.03
1524,11.557670778862088,43448.0,101.05.04
1537,11.711569449238205,40562.0,101.05.05
1548,11.906174561192596,41590.0,101.05.06
1564,12.14,21330.0,101.05.06
1576,13.01,22310.0,101.05.08
1589,13.874857665186736,38290.0,101.05.09
1602,14.222019562715763,34760.0,101.05.10
1615,12.987822244046155,40730.0,101.05.11
1628,12.729531353135313,30300.0,101.05.12
1638,12.243444629938788,35940.0,101.05.13
1655,11.96,27590.0,101.05.13
1667,13.806884681583476,23240.0,101.05.15
1680,15.586851385390428,39700.0,101.05.16
1693,17.913039243769692,34910.0,101.05.17
1706,17.92396887159533,23130.0,101.05.18
1719,15.543926320891906,20630.0,101.05.19
1730,14.900951623169956,31420.0,101.05.20
1746,15.17,15470.0,101.05.20
1758,17.62,14768.0,101.05.22
1771,18.114745810849197,28168.0,101.05.23
1784,18.33471443774388,28190.0,101.05.24
1795,18.727375809935204,27780.0,101.05.25
1809,20.37546813812745,28090.0,101.05.26
1819,20.49809707737865,31068.0,101.05.27
1835,19.91,15968.0,101.05.27
1846,17.79,16476.0,101.05.29
1860,18.588482463876264,29482.0,101.05.30
1872,19.526260984911293,24124.0,101.05.31
1886,18.26110545558821,27898.0,101.06.01
1898,16.330140764148233,34810.0,101.06.02
1910,14.989776856480916,32804.0,101.06.03
1923,14.66,14774.0,101.06.03
1934,15.38,16640.0,101.06.05
1946,15.847640834111424,32130.0,101.06.06
1958,16.417701180994232,36410.0,101.06.07
1970,15.91500711912672,42140.0,101.06.08
1982,14.649874183401888,41330.0,101.06.09
1994,13.895109435797666,41120.0,101.06.10
2009,13.9,21010.0,101.06.10
2020,15.65,19990.0,101.06.12
2032,17.618675034867504,35850.0,101.06.13
2044,20.517212292254627,31890.0,101.06.14
2056,20.434842749791265,35930.0,101.06.15
2068,18.51429677741694,40030.0,101.06.16
2080,15.350803802938636,46280.0,101.06.17
2093,14.073571701720844,26150.0,101.06.17
2104,15.43,20233.0,101.06.19
2115,17.673430230817594,33403.0,101.06.20
2128,21.278753511235955,28480.0,101.06.21
2140,19.813920367534458,32650.0,101.06.22
2151,18.194969162995594,34050.0,101.06.23
2164,17.982208258527827,16710.0,101.06.23
2178,11.555889212827989,24010.0,101.06.26
2190,12.742610739915865,40410.0,101.06.27
2202,15.467160578911097,29020.0,101.06.28
2214,17.283514739229023,26460.0,101.06.29
2226,18.407327154452823,34742.0,101.06.30
2238,17.89153516942752,39722.0,101.07.01
2251,16.85,18820.0,101.07.01
2262,17.4,14540.0,101.07.03
2274,16.680802675585284,29900.0,101.07.04
2288,16.0,15360.0,101.07.04
2298,21.37,12930.0,101.07.06
2310,20.64134504675385,30051.0,101.07.07
2321,18.24484835254395,34356.0,101.07.08
2335,16.410852915578765,17235.0,101.07.08
2346,15.82,17660.0,101.07.10
2358,16.063647306650616,33230.0,101.07.11
2370,15.531615306467998,29530.0,101.07.12
2382,16.65172504091653,30550.0,101.07.13
2394,19.305139760410725,35060.0,101.07.14
2405,20.691198317133324,34465.0,101.07.15
2418,21.30411691153485,15995.0,101.07.15
2429,17.75324459234609,15025.0,101.07.17
2441,18.81966854384553,31075.0,101.07.18
2453,19.31259341968141,33585.0,101.07.19
2465,18.19941743885766,39498.0,101.07.20
2477,18.499435268434205,34813.0,101.07.21
2487,19.529739776951672,13450.0,101.07.22
2501,11.6,600.0,101.07.22
2512,20.7,11582.0,101.07.24
2524,20.06401266130996,24642.0,101.07.25
2536,20.04307058823529,25500.0,101.07.26
2548,19.89430390236552,26548.0,101.07.27
2560,11.390444660108516,45338.0,101.07.28
2572,10.862379609544467,46100.0,101.07.29
2585,17.22,14870.0,101.07.29
2596,23.5,11280.0,101.07.31
2608,23.055354368598337,29094.0,101.08.01
2619,23.142325866412477,29374.0,101.08.02
2631,24.1512232833106,21990.0,101.08.03
2644,23.95677631578948,21280.0,101.08.04
2656,22.104041892940263,25780.0,101.08.05
2669,21.234909578030813,14930.0,101.08.05
2680,24.04448275862069,13630.0,101.08.07
2692,22.660382494831147,29020.0,101.08.08
2704,20.358406374501996,27610.0,101.08.09
2716,20.29082638362396,26380.0,101.08.10
2728,20.02282988404521,27252.0,101.08.11
2739,19.70768290989865,28812.0,101.08.12
2753,20.68765903307888,15720.0,101.08.12
2764,21.5903310836623,15706.0,101.08.14
2776,22.06392680062631,30656.0,101.08.15
2788,22.71998948106592,28520.0,101.08.16
2800,19.193609117771217,35535.0,101.08.17
2812,17.50445936523513,38723.0,101.08.18
2824,17.176666666666666,35538.0,101.08.19
2837,16.18551650692226,18780.0,101.08.19
2848,16.920035496957404,19720.0,101.08.21
2860,16.84726974514257,39630.0,101.08.22
2872,17.31059948076469,42370.0,101.08.23
2883,19.462615250163864,45770.0,101.08.24
2896,20.58742715156991,44270.0,101.08.25
2908,19.579597662396043,44490.0,101.08.26
2921,19.168674033149173,23530.0,101.08.26
2932,17.59183823529412,21760.0,101.08.28
2944,17.510730374223122,45374.0,101.08.29
2956,16.837217921201898,52184.0,101.08.30
2967,15.821347992351818,62760.0,101.08.31
2978,16.054489952153112,52250.0,101.09.01
2991,17.32,18060.0,101.09.01
3016,18.609316628701595,21950.0,101.09.05
3028,18.09720297029703,40400.0,101.09.06
3040,17.961578330206375,42640.0,101.09.07
3052,14.01061657948962,63090.0,101.09.08
3063,11.425870238255486,74290.0,101.09.09
3077,11.532277479513986,35390.0,101.09.09
3088,16.493910171730516,30280.0,101.09.11
3100,15.36280577849117,62300.0,101.09.12
3112,13.82571335716607,61540.0,101.09.13
3124,13.309476867745628,61170.0,101.09.14
3136,12.250685041908444,62040.0,101.09.15
3148,10.392394157636131,74285.0,101.09.16
3161,9.86308235562137,43895.0,101.09.16
3172,14.1821901590825,27030.0,101.09.18
3184,13.33091293795507,64276.0,101.09.19
3196,12.126167632248633,73876.0,101.09.20
3208,11.423014273719565,71460.0,101.09.21
3220,9.77175905845659,82078.0,101.09.22
3232,8.701179405660795,90588.0,101.09.23
3245,8.771227503461006,43340.0,101.09.23
3256,17.187222222222225,3240.0,101.09.25
3269,10.241181088471375,45348.0,101.09.26
3281,10.531798212956067,75208.0,101.09.27
3295,10.733871555177856,82370.0,101.09.28
3307,9.141203138622494,114700.0,101.09.29
3319,9.639692183070068,98760.0,101.09.30
3332,12.13093309330933,33330.0,101.09.30
3347,9.019436564609215,51115.0,101.10.03
3361,9.852898852466955,103265.0,101.10.04
3374,10.589927904142971,98480.0,101.10.05
3387,9.770318200138483,96763.0,101.10.06
3399,8.722158546489876,109583.0,101.10.07
3413,8.4,59150.0,101.10.07
3424,9.2,50500.0,101.10.09
3436,9.770781850275151,96310.0,101.10.10
3448,8.948230984286127,103730.0,101.10.11
3460,8.455356076954864,108895.0,101.10.12
3473,9.352659215724058,103790.0,101.10.13
3484,9.537588829215895,116375.0,101.10.14
3499,9.568823159219637,63560.0,101.10.14
3511,11.68893625498008,50200.0,101.10.16
3524,10.602094878253569,95280.0,101.10.17
3537,8.908022898409445,100531.0,101.10.18
3550,7.770808394145118,117987.0,101.10.19
3562,7.269732149409261,109016.0,101.10.20
3575,7.318551392178479,91619.0,101.10.21
3588,7.149165023593789,45139.0,101.10.21
3600,6.69376267784826,55806.0,101.10.23
3613,6.824723139398079,105396.0,101.10.24
3626,6.753557000000001,100000.0,101.10.25
3639,6.70020395223502,94630.0,101.10.26
3652,5.447945712523134,113470.0,101.10.27
3663,4.534512887244449,127568.0,101.10.28
3679,4.539101821050104,58318.0,101.10.28
3691,4.124219279703266,50146.0,101.10.30
3704,4.093069876928587,78166.0,101.10.31
3717,5.863509644546888,41215.0,101.11.01
3730,6.9329960456327,57152.0,101.11.02
3743,5.557320064629848,95312.0,101.11.03
3755,5.04601745976746,103896.0,101.11.04
3770,4.991865019698901,52541.0,101.11.04
3782,4.698025373439738,48870.0,101.11.06
3795,5.046712282480149,94704.0,101.11.07
3808,4.910415866435947,105178.0,101.11.08
3821,4.411443428652422,112884.0,101.11.09
3834,4.056486893694249,116814.0,101.11.10
3845,4.349951029622927,120481.0,101.11.11
3861,4.896201338996976,57207.0,101.11.11
3873,7.916937103742356,35646.0,101.11.13
3886,8.158469947096693,62756.0,101.11.14
3898,7.63722521271054,57590.0,101.11.15
3912,7.153429602888087,47090.0,101.11.16
3924,5.860548027501501,59924.0,101.11.17
3937,5.157160857230385,75079.0,101.11.18
3951,5.125767354005982,31765.0,101.11.18
3963,6.013777291863842,30641.0,101.11.20
3976,5.534659237809608,77356.0,101.11.21
3989,4.825210252097393,97502.0,101.11.22
4002,4.284945935238243,103487.0,101.11.23
4015,4.261310365428656,100430.0,101.11.24
4026,4.607036443304478,93570.0,101.11.25
4042,4.798352966841187,45840.0,101.11.25
4054,4.791059528266567,40065.0,101.11.27
4067,5.024262346608693,76357.0,101.11.28
4080,5.45269170557726,73459.0,101.11.29
4093,5.706246136201519,71497.0,101.11.30
4106,5.892759823828862,69932.0,101.12.01
4118,5.550562713148921,73892.0,101.12.02
4133,5.149221728910943,38290.0,101.12.02
4145,5.95853170134639,40850.0,101.12.04
4158,6.355731900260203,76479.0,101.12.05
4171,6.845903105824008,63719.0,101.12.06
4184,6.883880597014924,61640.0,101.12.07
4197,6.319119812015174,70644.0,101.12.08
4208,5.4321146521617445,82179.0,101.12.09
4224,5.118778973050905,45085.0,101.12.09
4236,3.936180763473054,53440.0,101.12.11
4249,4.932685701783175,91410.0,101.12.12
4262,6.363085311096857,77950.0,101.12.13
4275,6.298475646064071,83970.0,101.12.14
4288,5.358672754565925,79940.0,101.12.15
4300,4.315973870310439,83430.0,101.12.16
4315,4.320497051390059,47480.0,101.12.16
4327,6.58151340443932,34690.0,101.12.18
4340,6.459650690495533,73860.0,101.12.19
4353,6.845245641838352,69410.0,101.12.20
4365,7.88044456347081,56010.0,101.12.21
4379,9.909229779411769,54400.0,101.12.22
4390,10.757423069287274,50370.0,101.12.23
4405,10.0203127874885,21740.0,101.12.23
4417,9.062250313414124,23930.0,101.12.25
4430,9.046257000622276,48210.0,101.12.26
4443,8.847942108775442,47952.0,101.12.27
4456,9.38161591664421,44532.0,101.12.28
4469,10.144764297678869,41790.0,101.12.29
4481,11.006988212653356,41570.0,101.12.30
4496,11.93686046511628,20640.0,101.12.30
4508,11.590776699029126,11330.0,102.01.01
4522,11.572110000000002,30000.0,102.01.02
4536,12.518073033707866,35600.0,102.01.03
4550,15.49115034350535,31295.0,102.01.04
4564,18.402959128065397,27525.0,102.01.05
4577,19.29625289011864,26383.0,102.01.06
4593,19.47693715495727,13223.0,102.01.06
4606,20.702289730219903,13233.0,102.01.08
4620,19.65447565322992,25527.0,102.01.09
4634,19.22986406887177,24277.0,102.01.10
4648,19.15188008088144,24233.0,102.01.11
4662,17.611545704197724,25490.0,102.01.12
4674,18.789560975609756,24600.0,102.01.13
4691,20.98022887323944,11360.0,102.01.13
4704,22.034983870967743,12400.0,102.01.15
4718,19.918224557522127,50624.0,102.01.16
4732,19.243087222500098,51982.0,102.01.17
4746,18.47451168887918,18308.0,102.01.18
4760,16.80685254691689,18650.0,102.01.19
4773,17.50532138683288,25670.0,102.01.20
4789,18.06027657735523,11570.0,102.01.20
4802,17.93488888888889,12600.0,102.01.22
4816,18.016001386802262,25959.0,102.01.23
4830,16.91080059514388,31589.0,102.01.24
4844,13.816421289096253,34722.0,102.01.25
4858,11.448038154163443,38790.0,102.01.26
4870,10.950266947229442,48474.0,102.01.27
4887,10.46646240831296,26176.0,102.01.27
4900,9.30659145850121,24820.0,102.01.29
4914,10.74111304347826,46000.0,102.01.30
4928,12.38681397738952,38920.0,102.01.31
4942,12.088993894345634,37670.0,102.02.01
4956,10.774537291095037,40090.0,102.02.02
4969,9.012713040031707,50460.0,102.02.03
4984,8.55542904290429,30300.0,102.02.03
4997,8.097220438363813,28652.0,102.02.05
5011,7.7308979254168255,62856.0,102.02.06
5025,6.377722453735956,78949.0,102.02.07
5039,5.327468616539408,115905.0,102.02.08
5051,6.067720386496481,83830.0,102.02.09
5065,11.109692186266772,12670.0,102.02.09
5086,8.017549732109703,37702.0,102.02.15
5099,6.718511859939759,84992.0,102.02.16
5111,6.074991957720589,87040.0,102.02.17
5127,6.541514465408804,39750.0,102.02.17
5141,6.661168866145973,37130.0,102.02.19
5155,6.213703755263983,86199.0,102.02.20
5169,5.002907688295013,99684.0,102.02.21
5183,3.9628835978835983,113400.0,102.02.22
5197,3.6349982029373806,122422.0,102.02.23
5209,4.2310437901605065,110961.0,102.02.24
5224,5.132961187748423,51324.0,102.02.24
5241,5.217390640895219,39320.0,102.02.27
5255,5.13389304617631,87664.0,102.02.28
5269,4.613176717227772,97308.0,102.03.01
5283,4.045665777956639,99395.0,102.03.02
5296,3.910488632138355,110267.0,102.03.03
5312,3.8951149809479246,59836.0,102.03.03
5325,3.781928697292776,56183.0,102.03.05
5339,3.799349800283007,111658.0,102.03.06
5353,3.955995766736316,110553.0,102.03.07
5367,4.006447693746585,107989.0,102.03.08
5381,3.590656760874993,116161.0,102.03.09
5393,3.358561500172182,127772.0,102.03.10
5409,3.3955646136201607,64522.0,102.03.10
5423,3.480330275536509,59738.0,102.03.12
5437,3.959843431805559,113433.0,102.03.13
5451,4.3222817451098825,107615.0,102.03.14
5465,4.320997255586841,112228.0,102.03.15
5479,4.118464094133933,115580.0,102.03.16
5492,4.027656347746962,105502.0,102.03.17
5508,4.35366369479577,48230.0,102.03.17
5521,3.843202389572773,55240.0,102.03.19
