,台北二綜合農產品批發市場,台北一綜合農產品批發市場,三重區綜合農產品批發市場,桃農綜合農產品批發市場,台中市綜合農產品批發市場,永靖鄉綜合農產品批發市場,溪湖鎮綜合農產品批發市場,南投市綜合農產品批發市場,西螺鎮綜合農產品批發市場,高雄市綜合農產品批發市場,鳳山區綜合農產品批發市場,屏東市綜合農產品批發市場,花蓮市綜合農產品批發市場,台東市綜合農產品批發市場,宜蘭市綜合農產品批發市場,東勢鎮綜合農產品批發市場,台北市場綜合農產品批發市場,嘉義市綜合農產品批發市場,台南市場綜合農產品批發市場,豐原區綜合農產品批發市場,板橋區綜合農產品批發市場
台北二綜合農產品批發市場,0.0,0.0,17.516666666666666,39.083333333333336,122.33333333333333,137.81666666666666,128.85,135.61666666666667,145.45,229.4,225.63333333333333,240.06666666666666,168.6,359.75,51.63333333333333,118.0,0.0,173.86666666666667,202.43333333333334,111.03333333333333,26.5
台北一綜合農產品批發市場,0.0,0.0,17.516666666666666,39.083333333333336,122.33333333333333,137.81666666666666,128.85,135.61666666666667,145.45,229.4,225.63333333333333,240.06666666666666,168.6,359.75,51.63333333333333,118.0,0.0,173.86666666666667,202.43333333333334,111.03333333333333,26.5
三重區綜合農產品批發市場,21.483333333333334,21.483333333333334,0.0,27.866666666666667,114.75,130.23333333333332,121.26666666666667,128.38333333333333,137.85,221.8,218.05,232.46666666666667,178.38333333333333,369.53333333333336,61.43333333333333,110.4,21.483333333333334,166.26666666666668,194.83333333333334,103.45,15.933333333333334
桃農綜合農產品批發市場,40.56666666666667,40.56666666666667,30.883333333333333,0.0,100.63333333333334,116.11666666666666,107.15,114.26666666666667,123.73333333333333,207.68333333333334,203.93333333333334,218.35,194.35,358.15,77.4,96.28333333333333,40.56666666666667,152.16666666666666,180.71666666666667,89.33333333333333,29.0
台中市綜合農產品批發市場,121.23333333333333,121.23333333333333,115.46666666666667,99.3,0.0,45.85,36.88333333333333,36.2,53.483333333333334,137.41666666666666,133.66666666666666,147.35,273.31666666666666,287.15,156.36666666666667,42.4,121.23333333333333,81.9,110.46666666666667,33.03333333333333,107.96666666666667
永靖鄉綜合農產品批發市場,138.06666666666666,138.06666666666666,132.28333333333333,116.11666666666666,45.333333333333336,0.0,16.216666666666665,24.783333333333335,33.3,118.05,114.28333333333333,128.71666666666667,290.15,268.51666666666665,173.18333333333334,59.233333333333334,138.06666666666666,62.516666666666666,91.08333333333333,49.86666666666667,124.8
溪湖鎮綜合農產品批發市場,130.68333333333334,130.68333333333334,124.91666666666667,108.75,39.28333333333333,16.8,0.0,28.366666666666667,24.183333333333334,108.11666666666666,104.36666666666666,118.8,282.76666666666665,258.6,165.8,51.85,130.68333333333334,52.6,81.16666666666667,42.483333333333334,117.41666666666667
南投市綜合農產品批發市場,136.01666666666668,136.01666666666668,129.66666666666666,113.5,33.516666666666666,25.683333333333334,28.766666666666666,0.0,45.36666666666667,117.86666666666666,114.1,118.5,294.8666666666667,258.28333333333336,171.13333333333333,51.31666666666667,136.01666666666668,54.81666666666667,91.05,40.55,122.75
西螺鎮綜合農產品批發市場,145.03333333333333,145.03333333333333,139.25,123.08333333333333,53.61666666666667,31.483333333333334,23.733333333333334,42.7,0.0,99.38333333333334,95.63333333333334,110.05,297.1,249.85,180.15,66.2,145.03333333333333,43.85,72.41666666666667,56.833333333333336,131.76666666666668
高雄市綜合農產品批發市場,231.05,231.05,225.28333333333333,209.11666666666667,139.65,117.51666666666667,109.76666666666667,118.68333333333334,101.15,0.0,16.433333333333334,37.9,358.0833333333333,175.08333333333334,266.1666666666667,152.21666666666667,231.05,90.88333333333334,57.15,142.85,217.78333333333333
