,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,桃園縣
台北二綜合農產品批發市場,0.0,0.0,43.1,121.21666666666667,201.08333333333334,231.03333333333333,57.85,66.11666666666666,86.26666666666667,125.0,156.7,153.88333333333333,172.8,240.36666666666667,356.0,169.3,566.7,25.716666666666665,69.66666666666667,172.7,0.0,616.3666666666667,43.46666666666667
台北一綜合農產品批發市場,0.0,0.0,43.1,121.21666666666667,201.08333333333334,231.03333333333333,57.85,66.11666666666666,86.26666666666667,125.0,156.7,153.88333333333333,172.8,240.36666666666667,356.0,169.3,566.7,25.716666666666665,69.66666666666667,172.7,0.0,616.3666666666667,43.46666666666667
三重區綜合農產品批發市場,17.516666666666666,17.533333333333335,33.4,115.46666666666667,195.31666666666666,225.28333333333333,64.0,56.88333333333333,80.5,119.25,150.36666666666667,148.13333333333333,167.05,234.61666666666667,362.15,175.45,560.95,28.45,60.43333333333333,166.95,0.0,619.1,33.78333333333333
桃農綜合農產品批發市場,39.083333333333336,39.083333333333336,11.05,99.3,179.15,209.11666666666667,85.51666666666667,40.71666666666667,64.33333333333333,103.08333333333333,134.2,131.96666666666667,150.88333333333333,218.45,354.65,196.96666666666667,544.7833333333333,45.25,44.25,150.78333333333333,0.0,635.9,11.333333333333334
台中市綜合農產品批發市場,122.33333333333333,122.35,104.86666666666666,0.0,109.68333333333334,139.65,165.83333333333334,77.61666666666666,56.11666666666667,33.61666666666667,54.21666666666667,62.5,81.41666666666667,144.93333333333334,281.1333333333333,277.28333333333336,475.31666666666666,130.8,76.41666666666667,80.86666666666666,0.0,721.45,105.23333333333333
永靖鄉綜合農產品批發市場,137.81666666666666,137.83333333333334,120.35,45.85,87.55,117.51666666666667,181.31666666666666,93.1,71.6,25.933333333333334,55.516666666666666,40.36666666666667,59.28333333333333,126.85,263.05,292.76666666666665,453.18333333333334,146.28333333333333,91.9,59.18333333333333,0.0,736.9333333333333,120.71666666666667
溪湖鎮綜合農產品批發市場,128.85,128.86666666666667,111.38333333333334,36.88333333333333,79.8,109.76666666666667,172.35,84.13333333333334,62.63333333333333,16.966666666666665,57.88333333333333,32.61666666666667,51.53333333333333,119.1,255.3,283.8,445.43333333333334,137.31666666666666,82.93333333333334,51.43333333333333,0.0,727.9666666666667,111.75
南投市綜合農產品批發市場,135.61666666666667,135.61666666666667,118.5,36.2,91.65,118.68333333333334,179.1,91.25,69.56666666666666,32.75,43.93333333333333,46.733333333333334,63.233333333333334,119.08333333333333,255.28333333333333,298.8333333333333,454.46666666666664,144.45,90.01666666666667,55.016666666666666,0.0,735.0833333333334,118.86666666666666
西螺鎮綜合農產品批發市場,145.45,145.45,127.96666666666667,53.483333333333334,71.18333333333334,101.15,188.95,100.73333333333333,79.21666666666667,33.55,74.48333333333333,17.1,42.916666666666664,110.48333333333333,246.7,300.3833333333333,436.81666666666666,153.91666666666666,99.53333333333333,42.81666666666667,0.0,744.5666666666667,128.35
高雄市綜合農產品批發市場,229.4,229.4,211.91666666666666,137.41666666666666,49.15,0.0,272.8833333333333,184.66666666666666,163.16666666666666,117.5,154.45,96.15,78.18333333333334,36.71666666666667,173.28333333333333,362.2,337.53333333333336,237.85,183.46666666666667,88.91666666666667,0.0,828.5,212.28333333333333
鳳山區綜合農產品批發市場,225.63333333333333,225.65,208.16666666666666,133.66666666666666,45.38333333333333,16.433333333333334,269.1333333333333,180.91666666666666,159.41666666666666,113.75,150.7,92.38333333333334,74.43333333333334,30.15,166.71666666666667,355.65,352.1,234.1,179.71666666666667,85.16666666666667,0.0,824.75,208.53333333333333
屏東市綜合農產品批發市場,240.06666666666666,240.06666666666666,222.58333333333334,147.35,65.88333333333334,37.9,283.56666666666666,195.35,173.83333333333334,128.16666666666666,155.08333333333334,106.81666666666666,88.85,28.616666666666667,164.73333333333332,353.65,373.6,248.53333333333333,194.15,90.28333333333333,0.0,839.1833333333333,222.96666666666667
花蓮市綜合農產品批發市場,168.6,169.73333333333332,197.66666666666666,273.31666666666666,353.1666666666667,358.1,134.16666666666666,220.63333333333333,238.35,277.1,266.01666666666665,305.98333333333335,324.9,335.01666666666665,192.45,4.65,693.75,171.46666666666667,222.5,324.8,0.0,762.1166666666667,197.95
台東市綜合農產品批發市場,360.0833333333333,361.21666666666664,362.3833333333333,287.15,204.05,175.08333333333334,325.65,335.15,313.6333333333333,267.96666666666664,294.8833333333333,246.61666666666667,228.65,152.0,16.533333333333335,192.93333333333334,510.75,362.95,333.95,230.08333333333334,0.0,953.6,362.76666666666665
