年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量
2021,新北市,蘿蔔,74.33,73.15,31437.088,2299.623
2021,台北市,蘿蔔,35.11,35.11,12411.535,435.769
2021,桃園市,蘿蔔,16.1,16.1,19569.689,315.072
2021,台中市,蘿蔔,80.57,80.57,25797.071,2078.47
2021,台南市,蘿蔔,103.86,103.86,44021.596,4572.083
2021,高雄市,蘿蔔,437.52,437.52,30115.243,13176.021
2021,宜蘭縣,蘿蔔,24.43,24.43,32441.179,792.538
2021,新竹縣,蘿蔔,75.09,75.09,16927.154,1271.06
2021,苗栗縣,蘿蔔,76.74,76.74,22146.169,1699.497
2021,彰化縣,蘿蔔,534.18,534.18,40699.465,21740.84
2021,南投縣,蘿蔔,112.84,112.84,17568.017,1982.375
2021,雲林縣,蘿蔔,605.78,605.78,49360.126,29901.377
2021,嘉義縣,蘿蔔,260.07,260.07,40448.591,10519.465
2021,屏東縣,蘿蔔,24.15,24.15,20431.76,493.427
2021,台東縣,蘿蔔,154.17,154.17,12883.473,1986.245
2021,花蓮縣,蘿蔔,12.64,12.64,18365.111,232.135
2021,澎湖縣,蘿蔔,4.14,4.14,10284.541,42.578
2021,基隆市,蘿蔔,0.14,0.14,9500,1.33
2021,新竹市,蘿蔔,2.57,2.57,14470.428,37.189
2021,嘉義市,蘿蔔,-,-,-,-
2021,金門縣,蘿蔔,0.93,0.93,17268.817,16.06
2021,連江縣,蘿蔔,-,-,-,-
2021,新北市,胡蘿蔔,4.79,4.79,19245.72,92.187
2021,台北市,胡蘿蔔,14.87,14.87,10096.167,150.13
2021,桃園市,胡蘿蔔,1.35,1.35,16620,22.437
2021,台中市,胡蘿蔔,0.41,0.41,13468.293,5.522
2021,台南市,胡蘿蔔,588.82,588.82,62324.131,36697.695
2021,高雄市,胡蘿蔔,5.39,5.39,34215.584,184.422
2021,宜蘭縣,胡蘿蔔,0.63,0.63,17958.73,11.314
2021,新竹縣,胡蘿蔔,1.68,1.68,14523.81,24.4
2021,苗栗縣,胡蘿蔔,19.76,19.76,12167.662,240.433
2021,彰化縣,胡蘿蔔,446.04,446.04,42170.864,18809.892
2021,南投縣,胡蘿蔔,-,-,-,-
2021,雲林縣,胡蘿蔔,659.17,659.17,46345.447,30549.528
2021,嘉義縣,胡蘿蔔,2.36,2.36,29586.864,69.825
2021,屏東縣,胡蘿蔔,-,-,-,-
2021,台東縣,胡蘿蔔,1.93,1.93,22226.943,42.898
2021,花蓮縣,胡蘿蔔,0.72,0.72,16211.111,11.672
2021,澎湖縣,胡蘿蔔,7.45,7.45,12158.792,90.583
2021,基隆市,胡蘿蔔,-,-,-,-
2021,新竹市,胡蘿蔔,0.24,0.24,12583.333,3.02
2021,嘉義市,胡蘿蔔,0.12,0.12,18900,2.268
2021,金門縣,胡蘿蔔,0.82,0.82,18842.683,15.451
2021,連江縣,胡蘿蔔,-,-,-,-
2021,新北市,其他根菜類,0.36,0.36,17527.778,6.31
2021,台北市,其他根菜類,-,-,-,-
2021,桃園市,其他根菜類,0.1,0.1,14000,1.4
2021,台中市,其他根菜類,-,-,-,-
2021,台南市,其他根菜類,26.33,26.33,21305.355,560.97
2021,高雄市,其他根菜類,81.1,81.1,17995.598,1459.443
2021,宜蘭縣,其他根菜類,0.4,0.4,22500,9
2021,新竹縣,其他根菜類,-,-,-,-
2021,苗栗縣,其他根菜類,-,-,-,-
2021,彰化縣,其他根菜類,10.41,10.41,20386.167,212.22
2021,南投縣,其他根菜類,0.15,0.15,17000,2.55
2021,雲林縣,其他根菜類,99.76,99.76,23751.834,2369.483
2021,嘉義縣,其他根菜類,42.77,42.77,20351.672,870.441
2021,屏東縣,其他根菜類,37.38,37.38,20345.185,760.503
2021,台東縣,其他根菜類,0.1,0.1,25000,2.5
2021,花蓮縣,其他根菜類,-,-,-,-
2021,澎湖縣,其他根菜類,-,-,-,-
2021,基隆市,其他根菜類,-,-,-,-
2021,新竹市,其他根菜類,-,-,-,-
2021,嘉義市,其他根菜類,-,-,-,-
2021,金門縣,其他根菜類,-,-,-,-
2021,連江縣,其他根菜類,-,-,-,-
2021,新北市,薑,6.84,6.84,17526.901,119.884
2021,台北市,薑,0.73,0.73,17221.918,12.572
2021,桃園市,薑,2.19,2.19,31205.479,68.34
2021,台中市,薑,87.95,87.95,18406.345,1618.838
2021,台南市,薑,1.4,1.4,20642.857,28.9
2021,高雄市,薑,25.22,25.22,19765.623,498.489
2021,宜蘭縣,薑,28.04,28.04,29932.561,839.309
2021,新竹縣,薑,4.78,4.78,14836.82,70.92
2021,苗栗縣,薑,66.56,66.56,24770.358,1648.715
2021,彰化縣,薑,0.65,0.65,20000,13
2021,南投縣,薑,284.97,284.97,24906.285,7097.544
2021,雲林縣,薑,28.51,28.51,24999.298,712.73
2021,嘉義縣,薑,23.74,23.74,35975.569,854.06
2021,屏東縣,薑,5.7,5.7,17598.947,100.314
2021,台東縣,薑,190.76,190.76,27357.622,5218.74
2021,花蓮縣,薑,92.13,92.13,36016.987,3318.245
2021,澎湖縣,薑,-,-,-,-
2021,基隆市,薑,-,-,-,-
2021,新竹市,薑,-,-,-,-
2021,嘉義市,薑,1,1,16000,16
2021,金門縣,薑,-,-,-,-
2021,連江縣,薑,-,-,-,-
2021,新北市,芋,81.29,76.93,12432.276,956.415
2021,台北市,芋,3.78,3.78,11049.735,41.768
2021,桃園市,芋,7.53,7.53,13127.224,98.848
2021,台中市,芋,901.23,901.23,17878.672,16112.796
2021,台南市,芋,53.14,53.14,20318.649,1079.733
2021,高雄市,芋,60.41,60.41,12451.664,752.205
2021,宜蘭縣,芋,14.19,14.19,17889.218,253.848
2021,新竹縣,芋,9.74,9.74,14063.244,136.976
2021,苗栗縣,芋,344.12,344.12,17670.702,6080.842
2021,彰化縣,芋,18.6,18.6,20233.656,376.346
2021,南投縣,芋,11.95,11.95,14444.184,172.608
2021,雲林縣,芋,70.22,70.22,19374.794,1360.498
2021,嘉義縣,芋,29.27,29.27,15475.846,452.978
2021,屏東縣,芋,524.12,517.46,15802.899,8177.368
2021,台東縣,芋,90.48,90.48,6430.504,581.832
2021,花蓮縣,芋,153.24,153.24,16350.124,2505.493
2021,澎湖縣,芋,0.19,0.19,8526.316,1.62
2021,基隆市,芋,0.85,0.85,9682.353,8.23
2021,新竹市,芋,2.51,2.51,13485.657,33.849
2021,嘉義市,芋,1.66,1.66,15127.711,25.112
2021,金門縣,芋,16.39,16.39,11000,180.29
2021,連江縣,芋,-,-,-,-
2021,新北市,馬鈴薯,0.08,0.08,12437.5,0.995
2021,台北市,馬鈴薯,-,-,-,-
2021,桃園市,馬鈴薯,0.05,0.05,16600,0.83
2021,台中市,馬鈴薯,670.36,670.36,27523.464,18450.629
2021,台南市,馬鈴薯,34.68,34.68,23257.209,806.56
2021,高雄市,馬鈴薯,0.36,0.36,14772.222,5.318
2021,宜蘭縣,馬鈴薯,0.05,0.05,15600,0.78
2021,新竹縣,馬鈴薯,-,-,-,-
2021,苗栗縣,馬鈴薯,-,-,-,-
2021,彰化縣,馬鈴薯,10.23,10.23,18795.699,192.28
2021,南投縣,馬鈴薯,-,-,-,-
2021,雲林縣,馬鈴薯,1180.49,1180.49,19296.98,22779.892
2021,嘉義縣,馬鈴薯,834.78,834.78,23789.418,19858.93
2021,屏東縣,馬鈴薯,-,-,-,-
2021,台東縣,馬鈴薯,-,-,-,-
2021,花蓮縣,馬鈴薯,0.07,0.07,11000,0.77
2021,澎湖縣,馬鈴薯,-,-,-,-
2021,基隆市,馬鈴薯,-,-,-,-
2021,新竹市,馬鈴薯,-,-,-,-
2021,嘉義市,馬鈴薯,6.5,6.5,10500,68.25
2021,金門縣,馬鈴薯,0.6,0.6,15678.333,9.407
2021,連江縣,馬鈴薯,-,-,-,-
2021,新北市,蔥,68.58,68.58,13490.128,925.153
2021,台北市,蔥,11.35,11.35,9821.322,111.472
2021,桃園市,蔥,30.46,30.46,16106.763,490.612
2021,台中市,蔥,127,127,20558.118,2610.881
2021,台南市,蔥,40.23,40.23,16719.612,672.63
2021,高雄市,蔥,107.11,107.11,14129.138,1513.372
2021,宜蘭縣,蔥,443.34,443.34,19505.777,8647.691
2021,新竹縣,蔥,30.32,30.32,15619.657,473.588
2021,苗栗縣,蔥,35.46,35.46,15478.934,548.883
2021,彰化縣,蔥,1910.01,1910.01,27448.069,52426.087
2021,南投縣,蔥,49.47,49.47,12345.098,610.712
2021,雲林縣,蔥,1475.6,1475.6,21801.347,32170.067
2021,嘉義縣,蔥,41.15,41.15,14783.864,608.356
2021,屏東縣,蔥,27.77,27.77,16352.935,454.121
2021,台東縣,蔥,17.39,17.39,15580.564,270.946
2021,花蓮縣,蔥,21.99,21.99,11424.92,251.234
2021,澎湖縣,蔥,17.96,17.96,7742.094,139.048
2021,基隆市,蔥,0.84,0.84,9859.524,8.282
2021,新竹市,蔥,2.9,2.9,15822.414,45.885
2021,嘉義市,蔥,0.06,0.06,13500,0.81
2021,金門縣,蔥,1.14,1.14,13192.982,15.04
2021,連江縣,蔥,-,-,-,-
2021,新北市,蔥頭,-,-,-,-
2021,台北市,蔥頭,-,-,-,-
2021,桃園市,蔥頭,-,-,-,-
2021,台中市,蔥頭,0.33,0.33,8060.606,2.66
2021,台南市,蔥頭,1115.64,1115.64,10219.548,11401.337
2021,高雄市,蔥頭,0.14,0.14,7121.429,0.997
2021,宜蘭縣,蔥頭,-,-,-,-
2021,新竹縣,蔥頭,-,-,-,-
2021,苗栗縣,蔥頭,0.12,0.12,5916.667,0.71
2021,彰化縣,蔥頭,12.71,12.71,8685.208,110.389
2021,南投縣,蔥頭,-,-,-,-
2021,雲林縣,蔥頭,76.94,76.94,10543.384,811.208
2021,嘉義縣,蔥頭,7.38,7.38,8620.596,63.62
2021,屏東縣,蔥頭,-,-,-,-
2021,台東縣,蔥頭,-,-,-,-
2021,花蓮縣,蔥頭,-,-,-,-
2021,澎湖縣,蔥頭,-,-,-,-
2021,基隆市,蔥頭,-,-,-,-
2021,新竹市,蔥頭,-,-,-,-
2021,嘉義市,蔥頭,-,-,-,-
2021,金門縣,蔥頭,-,-,-,-
2021,連江縣,蔥頭,-,-,-,-
2021,新北市,洋蔥,-,-,-,-
2021,台北市,洋蔥,-,-,-,-
2021,桃園市,洋蔥,-,-,-,-
2021,台中市,洋蔥,-,-,-,-
2021,台南市,洋蔥,1.28,1.28,36093.75,46.2
2021,高雄市,洋蔥,122.14,122.14,53213.034,6499.44
2021,宜蘭縣,洋蔥,-,-,-,-
2021,新竹縣,洋蔥,-,-,-,-
2021,苗栗縣,洋蔥,0.03,0.03,50033.333,1.501
2021,彰化縣,洋蔥,228.2,228.2,54034.575,12330.69
2021,南投縣,洋蔥,-,-,-,-
2021,雲林縣,洋蔥,336.69,336.69,45292.91,15249.67
2021,嘉義縣,洋蔥,103.3,103.3,40872.265,4222.105
2021,屏東縣,洋蔥,410.02,410.02,49199.266,20172.683
2021,台東縣,洋蔥,2.58,2.58,43500,112.23
2021,花蓮縣,洋蔥,-,-,-,-
2021,澎湖縣,洋蔥,0.3,0.3,24000,7.2
2021,基隆市,洋蔥,-,-,-,-
2021,新竹市,洋蔥,-,-,-,-
2021,嘉義市,洋蔥,-,-,-,-
2021,金門縣,洋蔥,-,-,-,-
2021,連江縣,洋蔥,-,-,-,-
2021,新北市,韭菜,25.69,25.68,13483.372,346.253
2021,台北市,韭菜,0.26,0.26,10538.462,2.74
2021,桃園市,韭菜,98.45,98.45,31928.959,3143.406
2021,台中市,韭菜,10.39,10.39,11868.142,123.31
2021,台南市,韭菜,1.49,1.49,10054.362,14.981
2021,高雄市,韭菜,11.21,11.21,18920.339,212.097
2021,宜蘭縣,韭菜,30.1,29.92,22517.045,673.71
2021,新竹縣,韭菜,6.27,6.27,13240.829,83.02
2021,苗栗縣,韭菜,6.49,6.49,15244.53,98.937
2021,彰化縣,韭菜,476.76,476.76,33472.546,15958.371
2021,南投縣,韭菜,0.74,0.74,18729.73,13.86
2021,雲林縣,韭菜,5.78,5.78,18152.249,104.92
2021,嘉義縣,韭菜,1.07,1.07,8088.785,8.655
2021,屏東縣,韭菜,12.1,10.52,11628.137,122.328
2021,台東縣,韭菜,2.74,2.74,16413.504,44.973
2021,花蓮縣,韭菜,52.47,52.47,15665.847,821.987
2021,澎湖縣,韭菜,-,-,-,-
2021,基隆市,韭菜,0.91,0.91,9695.604,8.823
2021,新竹市,韭菜,0.13,0.13,12315.385,1.601
2021,嘉義市,韭菜,-,-,-,-
2021,金門縣,韭菜,-,-,-,-
2021,連江縣,韭菜,-,-,-,-
2021,新北市,蒜,15.32,15.32,13151.958,201.488
2021,台北市,蒜,0.84,0.84,9744.048,8.185
2021,桃園市,蒜,3.06,3.06,14247.059,43.596
2021,台中市,蒜,35.46,35.46,15019.036,532.575
2021,台南市,蒜,0.11,0.11,15500,1.705
2021,高雄市,蒜,0.7,0.7,17442.857,12.21
2021,宜蘭縣,蒜,82.64,82.14,22035.464,1809.993
2021,新竹縣,蒜,6.85,6.85,13155.766,90.117
2021,苗栗縣,蒜,15.64,15.64,14797.059,231.426
2021,彰化縣,蒜,41.86,41.86,15970.975,668.545
2021,南投縣,蒜,54.81,54.81,14158.913,776.05
2021,雲林縣,蒜,88.44,88.44,19108.232,1689.932
2021,嘉義縣,蒜,1.3,1.3,12015.385,15.62
2021,屏東縣,蒜,-,-,-,-
2021,台東縣,蒜,0.74,0.74,20797.297,15.39
2021,花蓮縣,蒜,0.6,0.6,14825,8.895
2021,澎湖縣,蒜,1.93,1.93,10723.316,20.696
2021,基隆市,蒜,0.01,0.01,13300,0.133
2021,新竹市,蒜,0.4,0.4,12500,5
2021,嘉義市,蒜,-,-,-,-
2021,金門縣,蒜,0.76,0.76,16035.526,12.187
2021,連江縣,蒜,-,-,-,-
2021,新北市,蒜頭,-,-,-,-
2021,台北市,蒜頭,0.82,0.82,5712.195,4.684
2021,桃園市,蒜頭,-,-,-,-
2021,台中市,蒜頭,0.76,0.76,9018.421,6.854
2021,台南市,蒜頭,86.06,86.06,8432.001,725.658
2021,高雄市,蒜頭,0.94,0.94,6378.723,5.996
2021,宜蘭縣,蒜頭,0.27,0.27,6900,1.863
2021,新竹縣,蒜頭,-,-,-,-
2021,苗栗縣,蒜頭,2.09,2.09,5829.187,12.183
2021,彰化縣,蒜頭,142.86,142.86,8538.555,1219.818
2021,南投縣,蒜頭,-,-,-,-
2021,雲林縣,蒜頭,4835.15,4835.15,9834.925,47553.336
2021,嘉義縣,蒜頭,18.91,18.91,9554.733,180.68
2021,屏東縣,蒜頭,-,-,-,-
2021,台東縣,蒜頭,3.35,3.35,8052.239,26.975
2021,花蓮縣,蒜頭,0.2,0.2,7000,1.4
2021,澎湖縣,蒜頭,-,-,-,-
2021,基隆市,蒜頭,0.07,0.07,9200,0.644
2021,新竹市,蒜頭,-,-,-,-
2021,嘉義市,蒜頭,-,-,-,-
2021,金門縣,蒜頭,0.5,0.5,6000,3
2021,連江縣,蒜頭,-,-,-,-
2021,新北市,荸薺,-,-,-,-
2021,台北市,荸薺,-,-,-,-
2021,桃園市,荸薺,-,-,-,-
2021,台中市,荸薺,-,-,-,-
2021,台南市,荸薺,-,-,-,-
2021,高雄市,荸薺,-,-,-,-
2021,宜蘭縣,荸薺,-,-,-,-
2021,新竹縣,荸薺,-,-,-,-
2021,苗栗縣,荸薺,-,-,-,-
2021,彰化縣,荸薺,3.49,3.49,20000,69.8
2021,南投縣,荸薺,-,-,-,-
2021,雲林縣,荸薺,-,-,-,-
2021,嘉義縣,荸薺,3.17,3.17,8342.271,26.445
2021,屏東縣,荸薺,0.1,0.1,12000,1.2
2021,台東縣,荸薺,-,-,-,-
2021,花蓮縣,荸薺,-,-,-,-
2021,澎湖縣,荸薺,-,-,-,-
2021,基隆市,荸薺,-,-,-,-
2021,新竹市,荸薺,-,-,-,-
2021,嘉義市,荸薺,-,-,-,-
2021,金門縣,荸薺,-,-,-,-
2021,連江縣,荸薺,-,-,-,-
2021,新北市,竹筍,2201.65,1875.38,4766.063,8938.179
2021,台北市,竹筍,427.4,427.4,4685.005,2002.371
2021,桃園市,竹筍,609.48,605.66,5219.384,3161.172
2021,台中市,竹筍,1227.77,1227.77,8395.251,10307.437
2021,台南市,竹筍,3725.99,3723.14,8606.172,32041.984
2021,高雄市,竹筍,1772.57,1772.57,10300.955,18259.164
2021,宜蘭縣,竹筍,233.39,232.89,19095.955,4447.257
2021,新竹縣,竹筍,349.15,349.15,6044.485,2110.432
2021,苗栗縣,竹筍,2591.34,2591.34,8144.749,21105.814
2021,彰化縣,竹筍,300.82,300.82,14416.262,4336.7
2021,南投縣,竹筍,2170.12,2170.12,6908.378,14992.01
2021,雲林縣,竹筍,3703.6,3702.19,12624.309,46737.591
2021,嘉義縣,竹筍,5072.42,4982.52,5820.312,28999.819
2021,屏東縣,竹筍,349.11,338.25,11413.608,3860.653
2021,台東縣,竹筍,230.23,230.23,6227.121,1433.67
2021,花蓮縣,竹筍,739.58,722.45,5620.457,4060.499
2021,澎湖縣,竹筍,-,-,-,-
2021,基隆市,竹筍,148.2,148.2,4554.912,675.038
2021,新竹市,竹筍,12.91,12.91,5566.46,71.863
2021,嘉義市,竹筍,71.29,71.29,9200,655.868
2021,金門縣,竹筍,1.53,1.53,3500,5.355
2021,連江縣,竹筍,-,-,-,-
2021,新北市,蘆筍,0.75,0.75,3338.667,2.504
2021,台北市,蘆筍,-,-,-,-
2021,桃園市,蘆筍,0.92,0.89,2591.011,2.306
2021,台中市,蘆筍,8.8,8.77,6595.667,57.844
2021,台南市,蘆筍,150.8,150.8,6041.976,911.13
2021,高雄市,蘆筍,10.87,10.87,5013.983,54.502
2021,宜蘭縣,蘆筍,0.12,0.12,7066.667,0.848
2021,新竹縣,蘆筍,0.29,0.29,7275.862,2.11
2021,苗栗縣,蘆筍,1.91,1.91,2903.141,5.545
2021,彰化縣,蘆筍,230.07,230.07,5737.88,1320.114
2021,南投縣,蘆筍,6.43,6.43,2409.487,15.493
2021,雲林縣,蘆筍,42.75,42.75,5017.825,214.512
2021,嘉義縣,蘆筍,105.07,105.07,3735.367,392.475
2021,屏東縣,蘆筍,17.29,15.29,5401.046,82.582
2021,台東縣,蘆筍,4.71,4.71,2708.28,12.756
2021,花蓮縣,蘆筍,3.69,3.69,4220.325,15.573
2021,澎湖縣,蘆筍,0.09,0.09,5000,0.45
2021,基隆市,蘆筍,-,-,-,-
2021,新竹市,蘆筍,0.09,0.09,8000,0.72
2021,嘉義市,蘆筍,1.75,1.75,2849.143,4.986
2021,金門縣,蘆筍,0.12,0.12,3125,0.375
2021,連江縣,蘆筍,-,-,-,-
2021,新北市,茭白筍,173.26,173.26,6379.228,1105.265
2021,台北市,茭白筍,10.61,10.61,11595.382,123.027
2021,桃園市,茭白筍,52.49,52.49,7055.973,370.368
2021,台中市,茭白筍,21.15,21.15,16110.496,340.737
2021,台南市,茭白筍,0.3,0.3,10800,3.24
2021,高雄市,茭白筍,0.04,0.04,11500,0.46
2021,宜蘭縣,茭白筍,39.02,39.02,16441.466,641.546
2021,新竹縣,茭白筍,14.67,14.67,11350.784,166.516
2021,苗栗縣,茭白筍,2.95,2.95,11427.797,33.712
2021,彰化縣,茭白筍,1.18,1.18,15542.373,18.34
2021,南投縣,茭白筍,1521.08,1521.08,18207.741,27695.431
2021,雲林縣,茭白筍,-,-,-,-
2021,嘉義縣,茭白筍,4.64,4.64,15420.259,71.55
2021,屏東縣,茭白筍,0.19,0.19,10815.789,2.055
2021,台東縣,茭白筍,0.55,0.55,16330.909,8.982
2021,花蓮縣,茭白筍,6.68,6.18,8292.233,51.246
2021,澎湖縣,茭白筍,-,-,-,-
2021,基隆市,茭白筍,0.12,0.12,10300,1.236
2021,新竹市,茭白筍,2.53,2.53,13723.32,34.72
2021,嘉義市,茭白筍,0.45,0.45,15500,6.975
2021,金門縣,茭白筍,-,-,-,-
2021,連江縣,茭白筍,-,-,-,-
2021,新北市,其他莖菜類,49.35,22.68,13892.989,315.093
2021,台北市,其他莖菜類,36.87,36.87,8066.884,297.426
2021,桃園市,其他莖菜類,115.35,114.95,13343.662,1533.854
2021,台中市,其他莖菜類,4.92,4.92,13781.707,67.806
2021,台南市,其他莖菜類,507.14,506.94,3085.596,1564.212
2021,高雄市,其他莖菜類,403.81,403.81,27668.349,11172.756
2021,宜蘭縣,其他莖菜類,20.75,20.75,15386.169,319.263
2021,新竹縣,其他莖菜類,11.81,11.81,11208.298,132.37
2021,苗栗縣,其他莖菜類,39.92,39.92,15995.867,638.555
2021,彰化縣,其他莖菜類,165.1,165.1,26831.248,4429.839
2021,南投縣,其他莖菜類,3.3,3.3,23409.091,77.25
2021,雲林縣,其他莖菜類,238.99,238.99,23525.185,5622.284
2021,嘉義縣,其他莖菜類,223.74,223.74,13113.324,2933.975
2021,屏東縣,其他莖菜類,3.82,3.82,13179.843,50.347
2021,台東縣,其他莖菜類,3.56,3.56,7548.315,26.872
2021,花蓮縣,其他莖菜類,45.58,45.08,9481.877,427.443
2021,澎湖縣,其他莖菜類,7.25,7.25,11394.759,82.612
2021,基隆市,其他莖菜類,0.37,0.37,10383.784,3.842
2021,新竹市,其他莖菜類,1.46,1.46,11709.589,17.096
2021,嘉義市,其他莖菜類,5.36,5.36,10213.806,54.746
2021,金門縣,其他莖菜類,0.71,0.71,12450.704,8.84
2021,連江縣,其他莖菜類,-,-,-,-
2021,新北市,甘藍,83.55,83.55,34190.018,2856.576
2021,台北市,甘藍,30.72,30.72,12788.281,392.856
2021,桃園市,甘藍,79.88,79.66,35676.274,2841.972
2021,台中市,甘藍,626.7,626.7,64402.81,40361.241
2021,台南市,甘藍,501.95,501.95,45102.359,22639.129
2021,高雄市,甘藍,218.73,218.73,37908.065,8291.631
2021,宜蘭縣,甘藍,1240.55,1240.55,73608.378,91314.873
2021,新竹縣,甘藍,234.25,234.25,44014.984,10310.51
2021,苗栗縣,甘藍,148.33,148.33,33112.991,4911.65
2021,彰化縣,甘藍,868.81,868.81,45220.803,39288.286
2021,南投縣,甘藍,1087.54,1087.54,45661.891,49659.133
2021,雲林縣,甘藍,1867.3,1867.3,50187.725,93715.538
2021,嘉義縣,甘藍,564.62,564.62,49193.422,27775.59
2021,屏東縣,甘藍,335.64,335.64,50380.318,16909.65
2021,台東縣,甘藍,170.6,170.6,25660.95,4377.758
2021,花蓮縣,甘藍,144.16,144.16,25309.462,3648.612
2021,澎湖縣,甘藍,20.91,20.91,15793.974,330.252
2021,基隆市,甘藍,0.6,0.6,10040,6.024
2021,新竹市,甘藍,5.5,5.5,19324.182,106.283
2021,嘉義市,甘藍,4.48,4.48,45613.839,204.35
2021,金門縣,甘藍,1.99,1.99,26449.749,52.635
2021,連江縣,甘藍,-,-,-,-
2021,新北市,大芥菜,43.01,43.01,16380.609,704.53
2021,台北市,大芥菜,36.8,36.8,12161.63,447.548
2021,桃園市,大芥菜,23.22,23.22,22929.371,532.42
2021,台中市,大芥菜,3.38,3.38,16948.225,57.285
